topic_id	display_label	raw_name	keywords	chunk_count	label_status
74	Dont · Come · Didnt · Personally	74_dont_come_didnt_personally	['dont', 'come', 'didnt', 'personally', 'play', 'did', 'silent', 'tonight', 'left', 'fact', 'satisfied', 'waiting']	158	needs_review
75	Speedy · Recovery · Martyrs · Mercy	75_speedy_recovery_martyrs_mercy	['speedy', 'recovery', 'martyrs', 'mercy', 'wounded', 'righteous', 'missing', 'forgiveness', 'eternity', 'injured', 'ask', 'prayers']	156	needs_review
76	Military equipment, armoured vehicles and ammunition	76_vehicles_armored_equipment_combat	['vehicles', 'armored', 'equipment', 'combat', 'losses', 'enemy', 'heavy', 'ammunition', 'tanks', 'inflicting', 'clearance', 'destroying']	156	reviewed
77	Music, artists and cultural events	77_artist_artists_singing_art	['artist', 'artists', 'singing', 'art', 'ask', 'artistic', 'song', 'forgiveness', 'illness', 'famous', 'band', 'mohamed']	155	reviewed
78	Terrorism and extremist violence	78_terrorist_terrorism_crimes_extremist	['terrorist', 'terrorism', 'crimes', 'extremist', 'classify', 'heinous', 'militia', 'brigades', 'regime', 'crime', 'atrocities', 'acts']	150	reviewed
79	Water · Station · Wells · Meters	79_water_station_wells_meters	['water', 'station', 'wells', 'meters', 'stations', 'dam', 'drinking', 'dams', 'renaissance', 'irrigation', 'authority', 'sea']	149	needs_review
80	God · Battle · Victory · Conquest	80_god_battle_victory_conquest	['god', 'battle', 'victory', 'conquest', 'know', 'dear', 'near', 'martyrs', 'channel', 'victoryfromgodandconquestisnear', 'gods', 'let']	149	needs_review
81	Foreigners · Immigration · Immigrants · Citizenship	81_foreigners_immigration_immigrants_citizenship	['foreigners', 'immigration', 'immigrants', 'citizenship', 'deportation', 'illegal', 'legal', 'residency', 'violators', 'status', 'deported', 'presence']	148	needs_review
82	Rent · House · Housing · Rents	82_rent_house_housing_rents	['rent', 'house', 'housing', 'rents', 'planning', 'residential', 'neighborhoods', 'urban', 'estate', 'eviction', 'localities', 'shambat']	148	needs_review
83	Health · Hospital · Medical · Center	83_health_hospital_medical_center	['health', 'hospital', 'medical', 'center', 'hospitals', 'nursing', 'sector', 'federal', 'ministry', 'doctors', 'treatment', 'specialists']	148	needs_review
84	Court · Accused · Prosecution · Case	84_court_accused_prosecution_case	['court', 'accused', 'prosecution', 'case', 'ruling', 'doha', 'martyr', 'trial', 'prosecutor', 'arrest', 'prison', 'fine']	147	needs_review
85	Newspapers · Headlines · Political · Morning	85_newspapers_headlines_political_morning	['newspapers', 'headlines', 'political', 'morning', 'ad', 'issued', 'prominent', 'akhbar', 'alyoum', 'newspaper', 'published', '2020']	144	needs_review
86	Religious · Church · Mosque · Mosques	86_religious_church_mosque_mosques	['religious', 'church', 'mosque', 'mosques', 'values', 'sheikh', 'religion', 'solidarity', 'prayers', 'quran', 'preachers', 'compassion']	143	needs_review
87	Workers · Labor · Employees · Salaries	87_workers_labor_employees_salaries	['workers', 'labor', 'employees', 'salaries', 'unemployment', 'job', 'expatriate', 'jobs', 'work', 'wage', 'saudi', 'restoring']	139	needs_review
88	Debts · Bank · Debt · Economic	88_debts_bank_debt_economic	['debts', 'bank', 'debt', 'economic', 'finance', 'billion', 'world', 'dollars', 'sudans', 'heavily', 'monetary', 'fund']	137	needs_review
89	Chinese · Foreign · Countries · Affairs	89_chinese_foreign_countries_affairs	['chinese', 'foreign', 'countries', 'affairs', 'bilateral', 'china', 'diplomats', 'relations', 'american', 'london', 'decision', 'diplomatic']	136	needs_review
90	Pardon · Reporting · Armed · Renew	90_pardon_reporting_armed_renew	['pardon', 'reporting', 'armed', 'renew', 'rebellion', 'army', 'unit', 'arming', 'benefit', 'commanderinchief', 'command', 'military']	131	needs_review
91	Peace · Juba · Kiir · Agreement	91_peace_juba_kiir_agreement	['peace', 'juba', 'kiir', 'agreement', 'south', 'salva', 'parties', 'president', 'union', 'african', 'mediation', 'igad']	130	needs_review
92	Enemy · Mercenaries · Shield · Remnants	92_enemy_mercenaries_shield_remnants	['enemy', 'mercenaries', 'shield', 'remnants', 'infiltrating', 'heroes', 'battle', 'valiant', 'confronted', 'chasing', 'chose', 'defeat']	129	needs_review
93	Pharmaceutical · Medicines · Strip · Medicine	93_pharmaceutical_medicines_strip_medicine	['pharmaceutical', 'medicines', 'strip', 'medicine', 'pharmacies', 'pounds', 'pharmacists', 'price', 'prices', 'pharmacy', 'increases', 'drug']	122	needs_review
94	Oil · Gasoline · Fuel · Prices	94_oil_gasoline_fuel_prices	['oil', 'gasoline', 'fuel', 'prices', 'gas', 'price', 'pounds', 'petroleum', 'increase', 'agents', 'barrels', 'production']	122	needs_review
95	Kordofan · West · Governor · North	95_kordofan_west_governor_north	['kordofan', 'west', 'governor', 'north', 'south', 'rashad', 'delegation', 'alfula', 'conflicts', 'meets', 'hamid', 'region']	121	needs_review
96	Command · Sat · Chief · Summary	96_command_sat_chief_summary	['command', 'sat', 'chief', 'summary', 'armed', 'commanderinchief', 'stable', '2023', 'todays', 'staff', 'forces', 'officers']	121	needs_review
97	Media · Press · Journalists · Professionals	97_media_press_journalists_professionals	['media', 'press', 'journalists', 'professionals', 'workshop', 'publications', 'misinformation', 'publishing', 'law', 'amend', 'professional', 'empower']	120	needs_review
98	Ethiopian · Newspaper · Renaissance · Ethiopia	98_ethiopian_newspaper_renaissance_ethiopia	['ethiopian', 'newspaper', 'renaissance', 'ethiopia', 'dam', 'hamdok', 'electronic', 'corona', 'sodamedia', 'alsudani', 'sitin', 'alwatan']	119	needs_review
99	Httpstmesaqwl ·  ·  ·	99_httpstmesaqwl___	['httpstmesaqwl', '', '', '', '', '', '', '', '', '', '', '']	117	needs_review
100	Soldiers · Army · Morale · Victory	100_soldiers_army_morale_victory	['soldiers', 'army', 'morale', 'victory', 'salute', 'leadership', 'commanders', 'officers', 'stable', 'fronts', 'leaders', 'soldier']	113	needs_review
101	Corporation · Television · Radio · Kordofan	101_corporation_television_radio_kordofan	['corporation', 'television', 'radio', 'kordofan', 'west', 'north', 'alfula', 'governor', 'locality', 'foundation', 'guidance', 'education']	112	needs_review
102	Trump · Biden · Trumps · Congress	102_trump_biden_trumps_congress	['trump', 'biden', 'trumps', 'congress', 'republican', 'investigative', 'donald', 'material', 'deliberations', 'house', 'representatives', 'journalism']	109	needs_review
103	Diaspora · Alfasher · Write · Arabs	103_diaspora_alfasher_write_arabs	['diaspora', 'alfasher', 'write', 'arabs', 'janjaweed', 'tribe', 'al', 'rizeigat', 'tribes', 'obaid', 'pulse', 'despite']	108	needs_review
104	Muslims · Badr · Victory · Bin	104_muslims_badr_victory_bin	['muslims', 'badr', 'victory', 'bin', 'speedy', 'valiant', 'resolve', 'battle', 'dedicate', 'god', 'almighty', 'cleanse']	108	needs_review
105	Demonstrations · Demonstrators · Protesters · Ministries	105_demonstrations_demonstrators_protesters_ministries	['demonstrations', 'demonstrators', 'protesters', 'ministries', 'protests', 'tear', 'gas', 'demonstration', 'party', 'police', 'revolutionary', 'khartoum']	107	needs_review
106	Almahdi · Pilgrims · Imam · Prayers	106_almahdi_pilgrims_imam_prayers	['almahdi', 'pilgrims', 'imam', 'prayers', 'eid', 'mosques', 'holy', 'alsadiq', 'hajj', 'mourns', 'ramadan', 'religious']	107	needs_review
107	Sovereignty · Commanderinchief · Lieutenant · Council	107_sovereignty_commanderinchief_lieutenant_council	['sovereignty', 'commanderinchief', 'lieutenant', 'council', 'overall', 'chairman', 'fattah', 'oath', 'yahya', 'transitional', 'general', 'president']	107	needs_review
108	Humanitarian · Aid · Agencies · Organizations	108_humanitarian_aid_agencies_organizations	['humanitarian', 'aid', 'agencies', 'organizations', 'relief', 'emergencies', 'principles', 'response', 'international', 'ensuring', 'working', 'urgent']	106	needs_review
109	Refugee · Refugees · Deport · Delegation	109_refugee_refugees_deport_delegation	['refugee', 'refugees', 'deport', 'delegation', 'administrative', 'commissioner', 'foreigners', 'interior', 'appointments', 'registered', 'commission', 'employees']	106	needs_review
110	Drones · Missiles · Drone · Losses	110_drones_missiles_drone_losses	['drones', 'missiles', 'drone', 'losses', 'air', 'shot', 'combat', 'missile', 'causing', 'tank', 'deals', 'aviation']	105	needs_review
111	Dialysis · Kidney · Patients · Liver	111_dialysis_kidney_patients_liver	['dialysis', 'kidney', 'patients', 'liver', 'center', 'hospital', 'machines', 'medical', 'surgery', 'othman', 'operations', 'treatment']	105	needs_review
112	Libya · Immigrants · Libyan · Illegal	112_libya_immigrants_libyan_illegal	['libya', 'immigrants', 'libyan', 'illegal', 'migrants', 'immigration', 'kufra', 'asylum', 'irregular', 'deported', 'center', 'accident']	104	needs_review
113	Honey · Strains · Wild · Best	113_honey_strains_wild_best	['honey', 'strains', 'wild', 'best', 'africa', 'bet', 'diplomatic', 'quality', 'laboratory', 'accurate', 'allow', '249918984706']	104	needs_review
114	Migration · Organization · Migrants · International	114_migration_organization_migrants_international	['migration', 'organization', 'migrants', 'international', 'million', 'libya', 'returned', 'immigration', 'reintegration', 'european', 'illegal', 'europe']	104	needs_review
115	Titles · Incidents · Economic · Black	115_titles_incidents_economic_black	['titles', 'incidents', 'economic', 'black', 'dollar', 'pound', 'economy', 'market', 'poverty', 'rates', 'currency', 'price']	104	needs_review
116	Haftar · Libyan · Libya · Khalifa	116_haftar_libyan_libya_khalifa	['haftar', 'libyan', 'libya', 'khalifa', 'tripoli', 'kufra', 'nyala', 'chad', 'hesitation', 'southern', 'triangle', 'border']	103	needs_review
117	Estate · Real · Housing · Apartment	117_estate_real_housing_apartment	['estate', 'real', 'housing', 'apartment', 'apartments', 'rent', 'license', 'market', 'owners', 'advised', 'fund', 'prices']	102	needs_review
118	Love · Mother · Son · Know	118_love_mother_son_know	['love', 'mother', 'son', 'know', 'husband', 'children', 'family', 'daughter', 'did', 'dont', 'told', 'crying']	101	needs_review
119	Httpswhatsappcomchaannel0029Vb2Jdpaixnnnnnnnnnnnnpxuj5A1X · Join · Guardians · Battleofdemocracy	119_httpswhatsappcomchaannel0029vb2jdpaixnnnnnnnnnnnnpxuj5a1x_join_guardians_battleofdemocracy	['httpswhatsappcomchaannel0029vb2jdpaixnnnnnnnnnnnnpxuj5a1x', 'join', 'guardians', 'battleofdemocracy', 'scene', 'righteous', 'glorious', 'httpstmesdnewsnetwork', 'forgiveness', 'telegram', 'mercy', 'link']	100	needs_review
120	Albashir · Meets · Unamid · Minister	120_albashir_meets_unamid_minister	['albashir', 'meets', 'unamid', 'minister', 'jaber', 'salma', 'sovereignty', 'council', 'praises', 'president', 'ambassador', 'writers']	100	needs_review
121	Temperatures · Meteorology · Slight · Maximum	121_temperatures_meteorology_slight_maximum	['temperatures', 'meteorology', 'slight', 'maximum', 'decrease', 'rise', 'small', 'parts', 'degrees', 'rest', 'gradual', 'temperature']	99	needs_review
122	Medical · Patients · Medicines · Room	122_medical_patients_medicines_room	['medical', 'patients', 'medicines', 'room', 'treatment', 'hospitals', 'injured', 'emergency', 'care', 'clinics', 'teams', 'provide']	99	needs_review
123	Doctors · Network · Injured · Killed	123_doctors_network_injured_killed	['doctors', 'network', 'injured', 'killed', 'result', 'rapid', 'wounded', 'syndicate', 'fasher', 'medical', 'bombing', 'hospital']	99	needs_review
124	Chadian · Chad · Border · Regimes	124_chadian_chad_border_regimes	['chadian', 'chad', 'border', 'regimes', 'territory', 'ndjamena', 'crossing', 'authorities', 'crossings', 'emirati', 'uae', 'altineh']	98	needs_review
125	Httpstmesudannm · Httpswhatsappcomchannel0029Vae7L5T11Ulpotfega1S · Correspondent · Follow	125_httpstmesudannm_httpswhatsappcomchannel0029vae7l5t11ulpotfega1s_correspondent_follow	['httpstmesudannm', 'httpswhatsappcomchannel0029vae7l5t11ulpotfega1s', 'correspondent', 'follow', 'whatsapp', 'channel', 'telegram', 'journalist', 'majid', 'abdul', 'httpstmesudaaan', 'hamid']	97	needs_review
126	Hajj · Umrah · Pilgrims · Ah	126_hajj_umrah_pilgrims_ah	['hajj', 'umrah', 'pilgrims', 'ah', 'endowments', 'season', 'establishments', 'riyals', 'saudi', 'cost', 'holy', 'religious']	95	needs_review
