topic_id	supercluster_id	supercluster_label	family_id	family_label
58	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
59	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
60	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
61	4	Map region 4	12	Follow · Httpstmesudaaan · Channel · Whatsapp · Join · Scene · Httpstmesdnewsnetwork · Link
62	4	Map region 4	7	Newspaper headlines and media round-ups · Ad · Todays · News · Headlines
63	2	Map region 2	8	Religious prayers and blessings · God · Bless · Messenger · Grant
64	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
65	5	Map region 5	9	Cholera, dengue and disease outbreaks · COVID-19 pandemic
66	3	Map region 3	6	Gulf, Iran and regional affairs · Israel, Gaza and Palestine
67	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
68	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
69	4	Map region 4	7	Newspaper headlines and media round-ups · Ad · Todays · News · Headlines
70	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
71	4	Map region 4	7	Newspaper headlines and media round-ups · Ad · Todays · News · Headlines
72	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
73	3	Map region 3	6	Gulf, Iran and regional affairs · Israel, Gaza and Palestine
74	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
75	2	Map region 2	8	Religious prayers and blessings · God · Bless · Messenger · Grant
76	2	Map region 2	11	December Revolution and democratic change · Military equipment, armoured vehicles and ammunition
77	4	Map region 4	7	Newspaper headlines and media round-ups · Ad · Todays · News · Headlines
78	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
79	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
80	2	Map region 2	8	Religious prayers and blessings · God · Bless · Messenger · Grant
81	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
82	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
83	5	Map region 5	9	Cholera, dengue and disease outbreaks · COVID-19 pandemic
84	1	Map region 1	10	Khartoum policing and public security · Police · Security · Crime · Intelligence
85	4	Map region 4	7	Newspaper headlines and media round-ups · Ad · Todays · News · Headlines
86	2	Map region 2	8	Religious prayers and blessings · God · Bless · Messenger · Grant
87	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
88	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
89	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
90	2	Map region 2	11	December Revolution and democratic change · Military equipment, armoured vehicles and ammunition
91	3	Map region 3	6	Gulf, Iran and regional affairs · Israel, Gaza and Palestine
92	2	Map region 2	11	December Revolution and democratic change · Military equipment, armoured vehicles and ammunition
93	5	Map region 5	9	Cholera, dengue and disease outbreaks · COVID-19 pandemic
94	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
95	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
96	2	Map region 2	11	December Revolution and democratic change · Military equipment, armoured vehicles and ammunition
97	4	Map region 4	7	Newspaper headlines and media round-ups · Ad · Todays · News · Headlines
98	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
99	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
100	2	Map region 2	11	December Revolution and democratic change · Military equipment, armoured vehicles and ammunition
101	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
102	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
103	2	Map region 2	8	Religious prayers and blessings · God · Bless · Messenger · Grant
104	2	Map region 2	8	Religious prayers and blessings · God · Bless · Messenger · Grant
105	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
106	2	Map region 2	8	Religious prayers and blessings · God · Bless · Messenger · Grant
107	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
108	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
109	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
110	2	Map region 2	11	December Revolution and democratic change · Military equipment, armoured vehicles and ammunition
111	5	Map region 5	9	Cholera, dengue and disease outbreaks · COVID-19 pandemic
112	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
113	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
114	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
115	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
116	3	Map region 3	6	Gulf, Iran and regional affairs · Israel, Gaza and Palestine
117	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
118	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
119	4	Map region 4	12	Follow · Httpstmesudaaan · Channel · Whatsapp · Join · Scene · Httpstmesdnewsnetwork · Link
120	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
121	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
122	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
123	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
124	3	Map region 3	6	Gulf, Iran and regional affairs · Israel, Gaza and Palestine
125	4	Map region 4	12	Follow · Httpstmesudaaan · Channel · Whatsapp · Join · Scene · Httpstmesdnewsnetwork · Link
126	2	Map region 2	8	Religious prayers and blessings · God · Bless · Messenger · Grant
127	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
128	4	Map region 4	12	Follow · Httpstmesudaaan · Channel · Whatsapp · Join · Scene · Httpstmesdnewsnetwork · Link
129	2	Map region 2	11	December Revolution and democratic change · Military equipment, armoured vehicles and ammunition
130	4	Map region 4	12	Follow · Httpstmesudaaan · Channel · Whatsapp · Join · Scene · Httpstmesdnewsnetwork · Link
131	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
132	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
133	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
134	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
135	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
136	2	Map region 2	8	Religious prayers and blessings · God · Bless · Messenger · Grant
137	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
138	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
139	5	Map region 5	9	Cholera, dengue and disease outbreaks · COVID-19 pandemic
140	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
141	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
142	4	Map region 4	7	Newspaper headlines and media round-ups · Ad · Todays · News · Headlines
143	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
144	4	Map region 4	7	Newspaper headlines and media round-ups · Ad · Todays · News · Headlines
145	3	Map region 3	6	Gulf, Iran and regional affairs · Israel, Gaza and Palestine
146	4	Map region 4	12	Follow · Httpstmesudaaan · Channel · Whatsapp · Join · Scene · Httpstmesdnewsnetwork · Link
147	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
148	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
149	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
150	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
151	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
152	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
153	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
154	4	Map region 4	7	Newspaper headlines and media round-ups · Ad · Todays · News · Headlines
155	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
156	4	Map region 4	7	Newspaper headlines and media round-ups · Ad · Todays · News · Headlines
157	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
158	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
159	3	Map region 3	6	Gulf, Iran and regional affairs · Israel, Gaza and Palestine
160	3	Map region 3	6	Gulf, Iran and regional affairs · Israel, Gaza and Palestine
161	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
162	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
163	5	Map region 5	9	Cholera, dengue and disease outbreaks · COVID-19 pandemic
164	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
165	4	Map region 4	7	Newspaper headlines and media round-ups · Ad · Todays · News · Headlines
166	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
167	5	Map region 5	9	Cholera, dengue and disease outbreaks · COVID-19 pandemic
168	4	Map region 4	7	Newspaper headlines and media round-ups · Ad · Todays · News · Headlines
169	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
170	2	Map region 2	8	Religious prayers and blessings · God · Bless · Messenger · Grant
171	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
172	2	Map region 2	8	Religious prayers and blessings · God · Bless · Messenger · Grant
173	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
174	4	Map region 4	7	Newspaper headlines and media round-ups · Ad · Todays · News · Headlines
175	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
176	4	Map region 4	12	Follow · Httpstmesudaaan · Channel · Whatsapp · Join · Scene · Httpstmesdnewsnetwork · Link
177	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
178	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
179	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
180	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
181	2	Map region 2	11	December Revolution and democratic change · Military equipment, armoured vehicles and ammunition
182	3	Map region 3	6	Gulf, Iran and regional affairs · Israel, Gaza and Palestine
183	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
184	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
185	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
186	2	Map region 2	11	December Revolution and democratic change · Military equipment, armoured vehicles and ammunition
187	3	Map region 3	6	Gulf, Iran and regional affairs · Israel, Gaza and Palestine
188	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
189	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
190	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
191	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
192	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
193	1	Map region 1	10	Khartoum policing and public security · Police · Security · Crime · Intelligence
194	4	Map region 4	12	Follow · Httpstmesudaaan · Channel · Whatsapp · Join · Scene · Httpstmesdnewsnetwork · Link
195	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
196	1	Map region 1	10	Khartoum policing and public security · Police · Security · Crime · Intelligence
197	3	Map region 3	6	Gulf, Iran and regional affairs · Israel, Gaza and Palestine
198	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
199	4	Map region 4	7	Newspaper headlines and media round-ups · Ad · Todays · News · Headlines
200	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
201	3	Map region 3	6	Gulf, Iran and regional affairs · Israel, Gaza and Palestine
202	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
203	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
204	4	Map region 4	12	Follow · Httpstmesudaaan · Channel · Whatsapp · Join · Scene · Httpstmesdnewsnetwork · Link
205	4	Map region 4	7	Newspaper headlines and media round-ups · Ad · Todays · News · Headlines
206	2	Map region 2	8	Religious prayers and blessings · God · Bless · Messenger · Grant
207	2	Map region 2	8	Religious prayers and blessings · God · Bless · Messenger · Grant
208	3	Map region 3	6	Gulf, Iran and regional affairs · Israel, Gaza and Palestine
209	3	Map region 3	6	Gulf, Iran and regional affairs · Israel, Gaza and Palestine
210	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
211	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
212	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
213	5	Map region 5	9	Cholera, dengue and disease outbreaks · COVID-19 pandemic
214	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
215	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
216	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
217	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
218	2	Map region 2	8	Religious prayers and blessings · God · Bless · Messenger · Grant
219	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
220	4	Map region 4	7	Newspaper headlines and media round-ups · Ad · Todays · News · Headlines
221	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
222	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
223	2	Map region 2	11	December Revolution and democratic change · Military equipment, armoured vehicles and ammunition
224	4	Map region 4	7	Newspaper headlines and media round-ups · Ad · Todays · News · Headlines
225	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
226	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
227	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
228	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
229	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
230	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
231	2	Map region 2	8	Religious prayers and blessings · God · Bless · Messenger · Grant
232	2	Map region 2	11	December Revolution and democratic change · Military equipment, armoured vehicles and ammunition
233	3	Map region 3	6	Gulf, Iran and regional affairs · Israel, Gaza and Palestine
234	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
235	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
236	1	Map region 1	10	Khartoum policing and public security · Police · Security · Crime · Intelligence
237	3	Map region 3	6	Gulf, Iran and regional affairs · Israel, Gaza and Palestine
238	2	Map region 2	8	Religious prayers and blessings · God · Bless · Messenger · Grant
239	4	Map region 4	7	Newspaper headlines and media round-ups · Ad · Todays · News · Headlines
240	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
241	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
242	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
243	1	Map region 1	10	Khartoum policing and public security · Police · Security · Crime · Intelligence
244	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
245	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
246	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
247	2	Map region 2	11	December Revolution and democratic change · Military equipment, armoured vehicles and ammunition
248	2	Map region 2	11	December Revolution and democratic change · Military equipment, armoured vehicles and ammunition
249	1	Map region 1	10	Khartoum policing and public security · Police · Security · Crime · Intelligence
250	2	Map region 2	8	Religious prayers and blessings · God · Bless · Messenger · Grant
251	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
252	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
253	2	Map region 2	8	Religious prayers and blessings · God · Bless · Messenger · Grant
254	2	Map region 2	11	December Revolution and democratic change · Military equipment, armoured vehicles and ammunition
255	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
256	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
257	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
258	4	Map region 4	7	Newspaper headlines and media round-ups · Ad · Todays · News · Headlines
259	5	Map region 5	9	Cholera, dengue and disease outbreaks · COVID-19 pandemic
260	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
261	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
262	1	Map region 1	10	Khartoum policing and public security · Police · Security · Crime · Intelligence
263	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
264	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
265	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
266	2	Map region 2	11	December Revolution and democratic change · Military equipment, armoured vehicles and ammunition
267	3	Map region 3	6	Gulf, Iran and regional affairs · Israel, Gaza and Palestine
268	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
269	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
270	3	Map region 3	6	Gulf, Iran and regional affairs · Israel, Gaza and Palestine
271	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
272	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
273	2	Map region 2	11	December Revolution and democratic change · Military equipment, armoured vehicles and ammunition
274	4	Map region 4	7	Newspaper headlines and media round-ups · Ad · Todays · News · Headlines
275	3	Map region 3	6	Gulf, Iran and regional affairs · Israel, Gaza and Palestine
276	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
277	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
278	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
279	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
280	3	Map region 3	6	Gulf, Iran and regional affairs · Israel, Gaza and Palestine
281	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
282	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
283	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
284	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
285	4	Map region 4	12	Follow · Httpstmesudaaan · Channel · Whatsapp · Join · Scene · Httpstmesdnewsnetwork · Link
286	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
287	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
