message_key	topic_id	evidence_chunk_count	spans
1104571454:10180	16	1	"[{""chunk_id"":18,""start_char"":3759,""end_char"":3798,""source_start_char"":3741,""source_end_char"":3780}]"
1104571454:10180	49	1	"[{""chunk_id"":12,""start_char"":2872,""end_char"":2919,""source_start_char"":2860,""source_end_char"":2907}]"
1104571454:10180	74	1	"[{""chunk_id"":3,""start_char"":781,""end_char"":811,""source_start_char"":778,""source_end_char"":808}]"
1104571454:10180	166	1	"[{""chunk_id"":15,""start_char"":3191,""end_char"":3561,""source_start_char"":3176,""source_end_char"":3546}]"
1104571454:10180	172	2	"[{""chunk_id"":2,""start_char"":343,""end_char"":779,""source_start_char"":341,""source_end_char"":777},{""chunk_id"":9,""start_char"":1846,""end_char"":2253,""source_start_char"":1837,""source_end_char"":2244}]"
1104571454:10180	177	1	"[{""chunk_id"":5,""start_char"":1231,""end_char"":1369,""source_start_char"":1226,""source_end_char"":1364}]"
1104571454:10180	254	1	"[{""chunk_id"":13,""start_char"":2921,""end_char"":3074,""source_start_char"":2908,""source_end_char"":3061}]"
1104571454:10195	34	1	"[{""chunk_id"":8,""start_char"":2131,""end_char"":2283,""source_start_char"":2155,""source_end_char"":2307}]"
1104571454:10195	62	1	"[{""chunk_id"":4,""start_char"":744,""end_char"":779,""source_start_char"":772,""source_end_char"":807}]"
1104571454:10195	73	1	"[{""chunk_id"":3,""start_char"":337,""end_char"":742,""source_start_char"":367,""source_end_char"":772}]"
1104571454:10195	101	1	"[{""chunk_id"":10,""start_char"":2836,""end_char"":3570,""source_start_char"":2858,""source_end_char"":3592}]"
1104571454:10218	16	2	"[{""chunk_id"":12,""start_char"":3964,""end_char"":4111,""source_start_char"":3964,""source_end_char"":4111},{""chunk_id"":13,""start_char"":4113,""end_char"":4174,""source_start_char"":4112,""source_end_char"":4173}]"
1104571454:10218	23	1	"[{""chunk_id"":11,""start_char"":3752,""end_char"":3962,""source_start_char"":3753,""source_end_char"":3963}]"
1104571454:10218	91	3	"[{""chunk_id"":0,""start_char"":0,""end_char"":481,""source_start_char"":0,""source_end_char"":481},{""chunk_id"":5,""start_char"":1279,""end_char"":1630,""source_start_char"":1286,""source_end_char"":1637},{""chunk_id"":6,""start_char"":1632,""end_char"":1865,""source_start_char"":1638,""source_end_char"":1871}]"
1104571454:10226	13	1	"[{""chunk_id"":11,""start_char"":2232,""end_char"":2320,""source_start_char"":2221,""source_end_char"":2309}]"
1104571454:10226	36	1	"[{""chunk_id"":12,""start_char"":2322,""end_char"":2634,""source_start_char"":2310,""source_end_char"":2622}]"
1104571454:10226	37	1	"[{""chunk_id"":2,""start_char"":323,""end_char"":627,""source_start_char"":321,""source_end_char"":625}]"
1104571454:10226	74	2	"[{""chunk_id"":5,""start_char"":1463,""end_char"":1491,""source_start_char"":1458,""source_end_char"":1486},{""chunk_id"":9,""start_char"":1945,""end_char"":1992,""source_start_char"":1936,""source_end_char"":1983}]"
1104571454:10226	160	1	"[{""chunk_id"":10,""start_char"":1994,""end_char"":2230,""source_start_char"":1984,""source_end_char"":2220}]"
1104571454:10226	166	1	"[{""chunk_id"":7,""start_char"":1532,""end_char"":1892,""source_start_char"":1525,""source_end_char"":1885}]"
1104571454:10226	191	1	"[{""chunk_id"":6,""start_char"":1493,""end_char"":1530,""source_start_char"":1487,""source_end_char"":1524}]"
1104571454:10226	215	1	"[{""chunk_id"":8,""start_char"":1894,""end_char"":1943,""source_start_char"":1886,""source_end_char"":1935}]"
1104571454:10250	60	1	"[{""chunk_id"":1,""start_char"":722,""end_char"":844,""source_start_char"":721,""source_end_char"":843}]"
1104571454:10250	218	1	"[{""chunk_id"":3,""start_char"":989,""end_char"":1136,""source_start_char"":986,""source_end_char"":1133}]"
1104571454:10296	13	1	"[{""chunk_id"":1,""start_char"":709,""end_char"":772,""source_start_char"":708,""source_end_char"":771}]"
1104571454:10296	37	1	"[{""chunk_id"":0,""start_char"":0,""end_char"":707,""source_start_char"":0,""source_end_char"":707}]"
1104571454:10296	63	1	"[{""chunk_id"":13,""start_char"":3825,""end_char"":4106,""source_start_char"":3834,""source_end_char"":4115}]"
1104571454:10309	68	1	"[{""chunk_id"":3,""start_char"":921,""end_char"":1676,""source_start_char"":918,""source_end_char"":1673}]"
1104571454:10309	169	2	"[{""chunk_id"":2,""start_char"":506,""end_char"":919,""source_start_char"":504,""source_end_char"":917},{""chunk_id"":6,""start_char"":2381,""end_char"":2646,""source_start_char"":2375,""source_end_char"":2640}]"
1104571454:10309	191	2	"[{""chunk_id"":5,""start_char"":2211,""end_char"":2379,""source_start_char"":2206,""source_end_char"":2374},{""chunk_id"":10,""start_char"":2848,""end_char"":2939,""source_start_char"":2846,""source_end_char"":2937}]"
1104571454:10309	269	1	"[{""chunk_id"":11,""start_char"":2941,""end_char"":3001,""source_start_char"":2938,""source_end_char"":2998}]"
1104571454:10337	25	1	"[{""chunk_id"":1,""start_char"":755,""end_char"":1029,""source_start_char"":754,""source_end_char"":1028}]"
1104571454:10337	34	2	"[{""chunk_id"":0,""start_char"":0,""end_char"":753,""source_start_char"":0,""source_end_char"":753},{""chunk_id"":2,""start_char"":1031,""end_char"":1346,""source_start_char"":1029,""source_end_char"":1344}]"
1104571454:10344	68	1	"[{""chunk_id"":2,""start_char"":1088,""end_char"":1843,""source_start_char"":1086,""source_end_char"":1841}]"
1104571454:10344	138	1	"[{""chunk_id"":3,""start_char"":1845,""end_char"":2376,""source_start_char"":1842,""source_end_char"":2373}]"
1104571454:10344	169	2	"[{""chunk_id"":1,""start_char"":673,""end_char"":1086,""source_start_char"":672,""source_end_char"":1085},{""chunk_id"":5,""start_char"":2548,""end_char"":2813,""source_start_char"":2543,""source_end_char"":2808}]"
1104571454:10344	191	2	"[{""chunk_id"":4,""start_char"":2378,""end_char"":2546,""source_start_char"":2374,""source_end_char"":2542},{""chunk_id"":9,""start_char"":3015,""end_char"":3106,""source_start_char"":3014,""source_end_char"":3105}]"
1104571454:10344	269	1	"[{""chunk_id"":10,""start_char"":3108,""end_char"":3168,""source_start_char"":3106,""source_end_char"":3166}]"
1104571454:10347	34	1	"[{""chunk_id"":0,""start_char"":0,""end_char"":728,""source_start_char"":0,""source_end_char"":728}]"
1104571454:10355	35	1	"[{""chunk_id"":5,""start_char"":1625,""end_char"":2548,""source_start_char"":1620,""source_end_char"":2543}]"
1104571454:10365	11	1	"[{""chunk_id"":2,""start_char"":527,""end_char"":773,""source_start_char"":525,""source_end_char"":771}]"
1104571454:10365	24	1	"[{""chunk_id"":3,""start_char"":775,""end_char"":1001,""source_start_char"":772,""source_end_char"":998}]"
1104571454:10365	34	2	"[{""chunk_id"":0,""start_char"":0,""end_char"":342,""source_start_char"":0,""source_end_char"":342},{""chunk_id"":4,""start_char"":1003,""end_char"":1463,""source_start_char"":999,""source_end_char"":1459}]"
1104571454:10365	216	1	"[{""chunk_id"":1,""start_char"":344,""end_char"":525,""source_start_char"":343,""source_end_char"":524}]"
1104571454:10368	65	1	"[{""chunk_id"":2,""start_char"":1633,""end_char"":1745,""source_start_char"":1631,""source_end_char"":1743}]"
1104571454:10376	34	3	"[{""chunk_id"":0,""start_char"":0,""end_char"":875,""source_start_char"":0,""source_end_char"":875},{""chunk_id"":1,""start_char"":877,""end_char"":1091,""source_start_char"":876,""source_end_char"":1090},{""chunk_id"":3,""start_char"":1247,""end_char"":1950,""source_start_char"":1244,""source_end_char"":1947}]"
1104571454:10376	235	1	"[{""chunk_id"":2,""start_char"":1093,""end_char"":1245,""source_start_char"":1091,""source_end_char"":1243}]"
1104571454:10381	1	2	"[{""chunk_id"":5,""start_char"":253,""end_char"":331,""source_start_char"":285,""source_end_char"":363},{""chunk_id"":9,""start_char"":587,""end_char"":659,""source_start_char"":634,""source_end_char"":706}]"
1104571454:10381	8	1	"[{""chunk_id"":8,""start_char"":446,""end_char"":585,""source_start_char"":494,""source_end_char"":633}]"
1104571454:10381	23	2	"[{""chunk_id"":1,""start_char"":0,""end_char"":48,""source_start_char"":36,""source_end_char"":84},{""chunk_id"":30,""start_char"":1992,""end_char"":2084,""source_start_char"":2100,""source_end_char"":2192}]"
1104571454:10381	34	2	"[{""chunk_id"":17,""start_char"":1077,""end_char"":1176,""source_start_char"":1158,""source_end_char"":1257},{""chunk_id"":23,""start_char"":1603,""end_char"":1732,""source_start_char"":1678,""source_end_char"":1807}]"
1104571454:10381	35	1	"[{""chunk_id"":14,""start_char"":978,""end_char"":1075,""source_start_char"":1020,""source_end_char"":1117}]"
1104571454:10381	46	1	"[{""chunk_id"":12,""start_char"":833,""end_char"":919,""source_start_char"":877,""source_end_char"":963}]"
1104571454:10381	49	1	"[{""chunk_id"":39,""start_char"":2767,""end_char"":2810,""source_start_char"":2866,""source_end_char"":2908}]"
1104571454:10381	58	1	"[{""chunk_id"":32,""start_char"":2140,""end_char"":2262,""source_start_char"":2246,""source_end_char"":2368}]"
1104571454:10381	64	2	"[{""chunk_id"":13,""start_char"":921,""end_char"":976,""source_start_char"":964,""source_end_char"":1019},{""chunk_id"":22,""start_char"":1529,""end_char"":1601,""source_start_char"":1605,""source_end_char"":1677}]"
1104571454:10381	74	1	"[{""chunk_id"":31,""start_char"":2086,""end_char"":2138,""source_start_char"":2193,""source_end_char"":2245}]"
1104571454:10381	75	1	"[{""chunk_id"":6,""start_char"":333,""end_char"":444,""source_start_char"":364,""source_end_char"":475}]"
1104571454:10381	79	1	"[{""chunk_id"":34,""start_char"":2359,""end_char"":2437,""source_start_char"":2463,""source_end_char"":2541}]"
1104571454:10381	142	1	"[{""chunk_id"":11,""start_char"":791,""end_char"":831,""source_start_char"":836,""source_end_char"":876}]"
1104571454:10381	172	1	"[{""chunk_id"":19,""start_char"":1278,""end_char"":1403,""source_start_char"":1357,""source_end_char"":1482}]"
1104571454:10381	184	1	"[{""chunk_id"":18,""start_char"":1178,""end_char"":1276,""source_start_char"":1258,""source_end_char"":1356}]"
1104571454:10381	195	1	"[{""chunk_id"":35,""start_char"":2439,""end_char"":2544,""source_start_char"":2542,""source_end_char"":2647}]"
1104571454:1046	59	1	"[{""chunk_id"":0,""start_char"":0,""end_char"":725,""source_start_char"":0,""source_end_char"":725}]"
1104571454:10476	19	1	"[{""chunk_id"":0,""start_char"":0,""end_char"":237,""source_start_char"":0,""source_end_char"":237}]"
1104571454:10476	160	1	"[{""chunk_id"":1,""start_char"":239,""end_char"":730,""source_start_char"":238,""source_end_char"":729}]"
1104571454:105	31	2	"[{""chunk_id"":2,""start_char"":1309,""end_char"":1544,""source_start_char"":1307,""source_end_char"":1542},{""chunk_id"":10,""start_char"":2761,""end_char"":2987,""source_start_char"":2764,""source_end_char"":2990}]"
1104571454:105	47	1	"[{""chunk_id"":3,""start_char"":1546,""end_char"":1589,""source_start_char"":1543,""source_end_char"":1586}]"
1104571454:105	70	4	"[{""chunk_id"":1,""start_char"":473,""end_char"":1307,""source_start_char"":472,""source_end_char"":1306},{""chunk_id"":5,""start_char"":1700,""end_char"":1838,""source_start_char"":1695,""source_end_char"":1833},{""chunk_id"":8,""start_char"":1889,""end_char"":2488,""source_start_char"":1894,""source_end_char"":2493},{""chunk_id"":9,""start_char"":2490,""end_char"":2759,""source_start_char"":2494,""source_end_char"":2763}]"
1104571454:10512	1	3	"[{""chunk_id"":0,""start_char"":0,""end_char"":468,""source_start_char"":0,""source_end_char"":468},{""chunk_id"":2,""start_char"":911,""end_char"":1277,""source_start_char"":909,""source_end_char"":1275},{""chunk_id"":4,""start_char"":1419,""end_char"":1565,""source_start_char"":1415,""source_end_char"":1561}]"
1104571454:10512	29	1	"[{""chunk_id"":1,""start_char"":470,""end_char"":909,""source_start_char"":469,""source_end_char"":908}]"
1104571454:10512	33	1	"[{""chunk_id"":3,""start_char"":1279,""end_char"":1417,""source_start_char"":1276,""source_end_char"":1414}]"
1104571454:10533	1	6	"[{""chunk_id"":7,""start_char"":658,""end_char"":699,""source_start_char"":651,""source_end_char"":692},{""chunk_id"":11,""start_char"":1418,""end_char"":1457,""source_start_char"":1419,""source_end_char"":1458},{""chunk_id"":14,""start_char"":2619,""end_char"":2662,""source_start_char"":2615,""source_end_char"":2658},{""chunk_id"":20,""start_char"":2963,""end_char"":3025,""source_start_char"":2989,""source_end_char"":3051},{""chunk_id"":26,""start_char"":3305,""end_char"":3389,""source_start_char"":3333,""source_end_char"":3417},{""chunk_id"":32,""start_char"":3737,""end_char"":3830,""source_start_char"":3785,""source_end_char"":3878}]"
1104571454:10533	2	1	"[{""chunk_id"":4,""start_char"":372,""end_char"":407,""source_start_char"":368,""source_end_char"":403}]"
1104571454:10533	5	1	"[{""chunk_id"":0,""start_char"":0,""end_char"":133,""source_start_char"":0,""source_end_char"":133}]"
1104571454:10533	19	1	"[{""chunk_id"":23,""start_char"":3094,""end_char"":3157,""source_start_char"":3125,""source_end_char"":3188}]"
1104571454:10533	30	1	"[{""chunk_id"":31,""start_char"":3628,""end_char"":3735,""source_start_char"":3677,""source_end_char"":3784}]"
1104571454:10533	34	1	"[{""chunk_id"":28,""start_char"":3488,""end_char"":3580,""source_start_char"":3514,""source_end_char"":3606}]"
1104571454:10533	43	1	"[{""chunk_id"":34,""start_char"":3832,""end_char"":3987,""source_start_char"":3887,""source_end_char"":4042}]"
1104571454:10533	51	1	"[{""chunk_id"":25,""start_char"":3218,""end_char"":3303,""source_start_char"":3247,""source_end_char"":3332}]"
1104571454:10533	60	2	"[{""chunk_id"":5,""start_char"":409,""end_char"":496,""source_start_char"":404,""source_end_char"":491},{""chunk_id"":27,""start_char"":3391,""end_char"":3486,""source_start_char"":3418,""source_end_char"":3513}]"
1104571454:10533	101	1	"[{""chunk_id"":17,""start_char"":2823,""end_char"":2883,""source_start_char"":2816,""source_end_char"":2876}]"
1104571454:10533	145	1	"[{""chunk_id"":24,""start_char"":3159,""end_char"":3216,""source_start_char"":3189,""source_end_char"":3246}]"
1104571454:10533	210	1	"[{""chunk_id"":35,""start_char"":3989,""end_char"":4089,""source_start_char"":4043,""source_end_char"":4143}]"
1104571454:10533	216	1	"[{""chunk_id"":30,""start_char"":3582,""end_char"":3626,""source_start_char"":3632,""source_end_char"":3676}]"
1104571454:10553	43	1	"[{""chunk_id"":5,""start_char"":2410,""end_char"":2511,""source_start_char"":2405,""source_end_char"":2506}]"
1104571454:10553	114	1	"[{""chunk_id"":6,""start_char"":2513,""end_char"":2603,""source_start_char"":2507,""source_end_char"":2597}]"
1104571454:10582	1	1	"[{""chunk_id"":0,""start_char"":0,""end_char"":678,""source_start_char"":0,""source_end_char"":678}]"
1104571454:10614	34	3	"[{""chunk_id"":0,""start_char"":0,""end_char"":769,""source_start_char"":0,""source_end_char"":769},{""chunk_id"":1,""start_char"":771,""end_char"":1157,""source_start_char"":770,""source_end_char"":1156},{""chunk_id"":3,""start_char"":1208,""end_char"":1533,""source_start_char"":1205,""source_end_char"":1530}]"
1104571454:10634	29	2	"[{""chunk_id"":11,""start_char"":2253,""end_char"":2647,""source_start_char"":2274,""source_end_char"":2668},{""chunk_id"":16,""start_char"":3622,""end_char"":4226,""source_start_char"":3655,""source_end_char"":4259}]"
1104571454:10634	30	2	"[{""chunk_id"":1,""start_char"":589,""end_char"":650,""source_start_char"":588,""source_end_char"":649},{""chunk_id"":15,""start_char"":3066,""end_char"":3620,""source_start_char"":3100,""source_end_char"":3654}]"
1104571454:10634	33	1	"[{""chunk_id"":10,""start_char"":2034,""end_char"":2251,""source_start_char"":2056,""source_end_char"":2273}]"
1104571454:10634	38	1	"[{""chunk_id"":17,""start_char"":4228,""end_char"":4404,""source_start_char"":4260,""source_end_char"":4436}]"
1104571454:10634	46	1	"[{""chunk_id"":9,""start_char"":1793,""end_char"":2032,""source_start_char"":1816,""source_end_char"":2055}]"
1104571454:10634	60	1	"[{""chunk_id"":14,""start_char"":2951,""end_char"":3064,""source_start_char"":2986,""source_end_char"":3099}]"
1104571454:10639	32	1	"[{""chunk_id"":0,""start_char"":0,""end_char"":549,""source_start_char"":0,""source_end_char"":549}]"
1104571454:10639	33	1	"[{""chunk_id"":2,""start_char"":1286,""end_char"":1487,""source_start_char"":1284,""source_end_char"":1485}]"
1104571454:10639	70	1	"[{""chunk_id"":1,""start_char"":551,""end_char"":1284,""source_start_char"":550,""source_end_char"":1283}]"
1104571454:1064	1	1	"[{""chunk_id"":0,""start_char"":0,""end_char"":839,""source_start_char"":0,""source_end_char"":839}]"
1104571454:1064	3	1	"[{""chunk_id"":1,""start_char"":841,""end_char"":3057,""source_start_char"":840,""source_end_char"":3056}]"
1104571454:10657	1	2	"[{""chunk_id"":2,""start_char"":1697,""end_char"":1826,""source_start_char"":1695,""source_end_char"":1824},{""chunk_id"":3,""start_char"":1828,""end_char"":2401,""source_start_char"":1825,""source_end_char"":2398}]"
1104571454:10657	8	1	"[{""chunk_id"":5,""start_char"":2535,""end_char"":2640,""source_start_char"":2530,""source_end_char"":2635}]"
1104571454:10694	53	1	"[{""chunk_id"":3,""start_char"":1038,""end_char"":1263,""source_start_char"":1034,""source_end_char"":1259}]"
1104571454:10694	225	1	"[{""chunk_id"":1,""start_char"":327,""end_char"":876,""source_start_char"":326,""source_end_char"":874}]"
1104571454:10698	16	1	"[{""chunk_id"":3,""start_char"":645,""end_char"":679,""source_start_char"":642,""source_end_char"":676}]"
1104571454:10698	42	1	"[{""chunk_id"":2,""start_char"":329,""end_char"":643,""source_start_char"":327,""source_end_char"":641}]"
1104571454:10698	84	1	"[{""chunk_id"":9,""start_char"":1879,""end_char"":2249,""source_start_char"":1904,""source_end_char"":2274}]"
1104571454:10698	134	1	"[{""chunk_id"":8,""start_char"":1799,""end_char"":1877,""source_start_char"":1825,""source_end_char"":1903}]"
1104571454:10698	244	1	"[{""chunk_id"":4,""start_char"":681,""end_char"":914,""source_start_char"":677,""source_end_char"":910}]"
1104571454:1073	13	1	"[{""chunk_id"":5,""start_char"":2602,""end_char"":2643,""source_start_char"":2597,""source_end_char"":2638}]"
1104571454:1073	63	1	"[{""chunk_id"":4,""start_char"":1889,""end_char"":2600,""source_start_char"":1885,""source_end_char"":2596}]"
1104571454:1082	57	1	"[{""chunk_id"":0,""start_char"":0,""end_char"":83,""source_start_char"":0,""source_end_char"":83}]"
1104571454:1082	168	1	"[{""chunk_id"":3,""start_char"":550,""end_char"":659,""source_start_char"":547,""source_end_char"":656}]"
1104571454:10822	7	1	"[{""chunk_id"":0,""start_char"":0,""end_char"":183,""source_start_char"":0,""source_end_char"":183}]"
1104571454:10828	8	4	"[{""chunk_id"":3,""start_char"":185,""end_char"":249,""source_start_char"":204,""source_end_char"":268},{""chunk_id"":4,""start_char"":251,""end_char"":348,""source_start_char"":269,""source_end_char"":366},{""chunk_id"":16,""start_char"":1034,""end_char"":1130,""source_start_char"":1080,""source_end_char"":1176},{""chunk_id"":17,""start_char"":1132,""end_char"":1203,""source_start_char"":1177,""source_end_char"":1248}]"
1104571454:10828	11	1	"[{""chunk_id"":47,""start_char"":2873,""end_char"":2926,""source_start_char"":3014,""source_end_char"":3067}]"
1104571454:10828	13	2	"[{""chunk_id"":0,""start_char"":0,""end_char"":118,""source_start_char"":0,""source_end_char"":118},{""chunk_id"":23,""start_char"":1411,""end_char"":1503,""source_start_char"":1487,""source_end_char"":1579}]"
1104571454:10828	16	1	"[{""chunk_id"":7,""start_char"":476,""end_char"":518,""source_start_char"":491,""source_end_char"":533}]"
1104571454:10828	17	1	"[{""chunk_id"":49,""start_char"":2958,""end_char"":3037,""source_start_char"":3097,""source_end_char"":3176}]"
1104571454:10828	23	1	"[{""chunk_id"":24,""start_char"":1505,""end_char"":1600,""source_start_char"":1580,""source_end_char"":1675}]"
1104571454:10828	25	1	"[{""chunk_id"":39,""start_char"":2509,""end_char"":2576,""source_start_char"":2600,""source_end_char"":2667}]"
1104571454:10828	36	1	"[{""chunk_id"":50,""start_char"":3039,""end_char"":3097,""source_start_char"":3177,""source_end_char"":3235}]"
1104571454:10828	43	1	"[{""chunk_id"":9,""start_char"":520,""end_char"":605,""source_start_char"":558,""source_end_char"":643}]"
1104571454:10828	51	2	"[{""chunk_id"":57,""start_char"":3386,""end_char"":3460,""source_start_char"":3576,""source_end_char"":3650},{""chunk_id"":58,""start_char"":3462,""end_char"":3592,""source_start_char"":3651,""source_end_char"":3781}]"
1104571454:10828	53	1	"[{""chunk_id"":55,""start_char"":3268,""end_char"":3384,""source_start_char"":3440,""source_end_char"":3556}]"
1104571454:10828	64	2	"[{""chunk_id"":25,""start_char"":1602,""end_char"":1661,""source_start_char"":1676,""source_end_char"":1735},{""chunk_id"":31,""start_char"":1971,""end_char"":2063,""source_start_char"":2059,""source_end_char"":2151}]"
1104571454:10828	73	1	"[{""chunk_id"":26,""start_char"":1663,""end_char"":1784,""source_start_char"":1736,""source_end_char"":1857}]"
1104571454:10828	74	1	"[{""chunk_id"":27,""start_char"":1786,""end_char"":1810,""source_start_char"":1858,""source_end_char"":1882}]"
1104571454:10828	166	1	"[{""chunk_id"":33,""start_char"":2142,""end_char"":2230,""source_start_char"":2228,""source_end_char"":2316}]"
1104571454:10828	255	1	"[{""chunk_id"":45,""start_char"":2744,""end_char"":2806,""source_start_char"":2887,""source_end_char"":2949}]"
1104571454:10862	43	1	"[{""chunk_id"":3,""start_char"":759,""end_char"":908,""source_start_char"":768,""source_end_char"":917}]"
1104571454:10862	97	1	"[{""chunk_id"":2,""start_char"":636,""end_char"":757,""source_start_char"":646,""source_end_char"":767}]"
1104571454:10870	31	1	"[{""chunk_id"":0,""start_char"":0,""end_char"":187,""source_start_char"":0,""source_end_char"":187}]"
1104571454:10921	7	1	"[{""chunk_id"":5,""start_char"":1496,""end_char"":1728,""source_start_char"":1500,""source_end_char"":1732}]"
1104571454:10921	30	1	"[{""chunk_id"":0,""start_char"":0,""end_char"":1027,""source_start_char"":0,""source_end_char"":1027}]"
1104571454:10921	106	1	"[{""chunk_id"":3,""start_char"":1253,""end_char"":1494,""source_start_char"":1250,""source_end_char"":1491}]"
1104571454:10942	32	2	"[{""chunk_id"":0,""start_char"":0,""end_char"":384,""source_start_char"":0,""source_end_char"":384},{""chunk_id"":4,""start_char"":1716,""end_char"":2250,""source_start_char"":1712,""source_end_char"":2246}]"
1104571454:10993	3	1	"[{""chunk_id"":1,""start_char"":1029,""end_char"":1539,""source_start_char"":1028,""source_end_char"":1538}]"
1104571454:10993	101	1	"[{""chunk_id"":0,""start_char"":0,""end_char"":1027,""source_start_char"":0,""source_end_char"":1027}]"
1104571454:1100	32	1	"[{""chunk_id"":3,""start_char"":1680,""end_char"":1907,""source_start_char"":1677,""source_end_char"":1904}]"
1104571454:1100	58	1	"[{""chunk_id"":4,""start_char"":1909,""end_char"":2720,""source_start_char"":1905,""source_end_char"":2716}]"
1104571454:1100	202	1	"[{""chunk_id"":1,""start_char"":994,""end_char"":1201,""source_start_char"":993,""source_end_char"":1200}]"
1104571454:11029	40	1	"[{""chunk_id"":3,""start_char"":1094,""end_char"":1317,""source_start_char"":1091,""source_end_char"":1314}]"
1104571454:11029	105	1	"[{""chunk_id"":0,""start_char"":0,""end_char"":543,""source_start_char"":0,""source_end_char"":543}]"
1104571454:11029	191	1	"[{""chunk_id"":2,""start_char"":920,""end_char"":1092,""source_start_char"":918,""source_end_char"":1090}]"
1104571454:1103	11	1	"[{""chunk_id"":8,""start_char"":2896,""end_char"":3755,""source_start_char"":2903,""source_end_char"":3762}]"
1104571454:1103	43	3	"[{""chunk_id"":2,""start_char"":292,""end_char"":609,""source_start_char"":290,""source_end_char"":607},{""chunk_id"":4,""start_char"":611,""end_char"":1647,""source_start_char"":622,""source_end_char"":1658},{""chunk_id"":6,""start_char"":2299,""end_char"":2647,""source_start_char"":2308,""source_end_char"":2656}]"
1104571454:1103	93	1	"[{""chunk_id"":5,""start_char"":1649,""end_char"":2297,""source_start_char"":1659,""source_end_char"":2307}]"
1104571454:1103	269	1	"[{""chunk_id"":1,""start_char"":229,""end_char"":290,""source_start_char"":228,""source_end_char"":289}]"
1104571454:11093	23	1	"[{""chunk_id"":0,""start_char"":0,""end_char"":179,""source_start_char"":0,""source_end_char"":179}]"
1104571454:11093	65	2	"[{""chunk_id"":8,""start_char"":1448,""end_char"":2316,""source_start_char"":1440,""source_end_char"":2308},{""chunk_id"":13,""start_char"":2578,""end_char"":2825,""source_start_char"":2591,""source_end_char"":2838}]"
1104571454:11093	83	1	"[{""chunk_id"":15,""start_char"":2827,""end_char"":2923,""source_start_char"":2856,""source_end_char"":2952}]"
