topic_id	display_label	raw_name	keywords	representative_excerpt_1	representative_excerpt_2	representative_excerpt_3
10	Women’s rights and sexual violence	10_women_sexual_violence_rape	['women', 'sexual', 'violence', 'rape', 'girls', 'womens', 'cases', 'documented', 'raped', 'tribune', 'gender', 'exploitation']	Men bear 95% of the responsibility for female circumcision Identify the laws that need to be amended in the country Communications:	Students were mainly raped by their teenage classmates and teachers National Council:	The same is true of the Sudanese Eve due to the emotional drought that the Sudanese Adam has been experiencing for years. Regarding the reasons leading to this emotional dryness, he said that it is mainly due to wrong upbringing, loss of intimacy within the family, scarcity of verbal expression, shyness and brokenness when expressing feelings, along with fear, criticism or leniency from others, in addition to the negative view of masculinity and the loss of the culture of communication with females, which It is reinforced by the absence of mental health curricula and the poor psychological preparation of many, including overwhelming economic and living pressures, staying for long hours outside the home, and the phenomena of migration, alienation, and displacement, which led to spatial and emotional distance and caused this emotional famine and emotional attraction that affected three-quarters of Sudanese.!
11	Agriculture, farmers and harvests	11_agricultural_pounds_farmers_season	['agricultural', 'pounds', 'farmers', 'season', 'agriculture', 'wheat', 'livestock', 'production', 'acres', 'bag', 'seeds', 'harvest']	Ministry of Agriculture and Forestry In cooperation with the African Development Bank Youth Empowerment Program for Agricultural Entrepreneurship #Sudan_News_Network https://t.me/Sd_News_Network #Conditions • Sudanese by nationality • Resident in Sudan •	We carry our bags in the morning to schools, and in the afternoon we carry our agricultural tools to the fields and farms.	Production will double after the ban is lifted Next day:
12	Displacement, looting and attacks on civilians	12_civilians_homes_displacement_looting	['civilians', 'homes', 'displacement', 'looting', 'women', 'property', 'neighborhoods', 'killing', 'led', 'villages', 'addition', 'bombing']	The war in the region left 300,000 dead and displaced about 2.5 million people, according to United Nations statistics, but the government rejects these numbers and says that the death toll does not exceed 10,000 in the region, which is inhabited by about 7 million people.	5 Takfiris killed and terrorist hotspots containing explosive devices and explosive materials discovered and destroyed Due to bad weather conditions and rainfall... 5 people were killed and 28 injured in collision accidents in four governorates.	"This group should have known, because of which innocent people were killed."""
13	Religious prayers and blessings	13_god_oh_lord_ask	['god', 'oh', 'lord', 'ask', 'willing', 'mercy', 'gods', 'blessings', 'good', 'reward', 'praise', 'bless']	May God have mercy on him	Likewise, most families have members spread across the earth, seeking God’s blessings and leaving the care of their families to their student children.	It will be governed by a renewed vision for work mechanisms at the level of government and state agencies, so that we can intervene in them by evaluating, amending, and changing to maintain the rhythm of performance towards the desired goals whenever that is necessary and desired, with His Almighty permission. We ask for help and support in this regard from God Almighty, the Most High, the One with great bounty.
14	COVID-19 pandemic	14_corona_coronavirus_virus_cases	['corona', 'coronavirus', 'virus', 'cases', 'pandemic', 'suspected', 'health', 'infected', 'infection', 'infections', 'confront', 'deaths']	“13” infected people in one million on Thursday Khartoum is in the process of deporting a leader of a terrorist organization to Cairo Current:	- Unknown fevers hit villages in the Red Sea - An exemption campaign targeting electricity company managers - Kassala Prosecutor’s Office pursues “Jamaa” and calls on citizens to help arrest him - Health insurance dismissals reject their dismissal decisions Follow the latest Sudan news on Telegram via the link​. https://t.me/Sd_News_Network	Health and shelter equipment for Sudanese students coming from China. Follow the latest news on the Telegram application via the link https://t.me/Sd_News_Network The health authorities in Sudan have completed all their preparations to receive Sudanese students coming from China, while Khartoum Airport receives 200 students, confirming that there have been no cases of infection or suspicion of infection with the Corona virus in Sudan. Dr. Sarah Abdel-Azim, Undersecretary of the Federal Ministry of Health, said in a press conference in Khartoum that there is complete coordination on arrangements for receiving students coming from China through a joint committee that includes all relevant authorities. The Federal Ministry of Health, in coordination with some parties, prepared a center to shelter the returnees and isolate it, along with providing it with means of living, comfort, and monitoring of the arrivals.
15	Jobs, vacancies and recruitment	15_required_degree_officer_vacant	['required', 'degree', 'officer', 'vacant', 'assistant', 'related', 'port', 'monthly', 'management', 'field', 'vacancies', 'salary']	Requirements: Nursing Diploma/Official Diploma/Accredited First Aid Certificate. _ 6 months of experience in the health care field or equivalent health care courses. _ Age from 21 to 35. _ Application is available for females only. _ Salary 2500 riyals. _	Not only that, we also offer travel and immigration opportunities for those looking for new horizons elsewhere. 🌏✈️ _ Our channel is a platform for disseminating job opportunities for Sudanese, as we provide opportunities and jobs that contribute to building a sustainable future. 💼🌟 _ Join us today via the following link: https://t.me/sudan_news1 And be part of our diverse and inspiring community! 🤝🔗	Or even if I am still closed in Sudan, but are you looking for job opportunities for me in dollars in organizations operating in Sudan?
16	Constitution, elections and political transition	16_legislative_constitutional_elections_ministers	['legislative', 'constitutional', 'elections', 'ministers', 'freedom', 'party', 'political', 'change', 'democracy', 'transitional', 'government', 'congress']	a plan to activate asset declarations The Speaker of Parliament complains about the negligence of MPs Political microscope:	There is no intention to withdraw from the government Today's news:	There is no intention to amend the constitution to increase the term of the president Attention:
17	Food baskets and charitable assistance	17_baskets_food_charity_crescent	['baskets', 'food', 'charity', 'crescent', 'families', 'displaced', 'meals', 'red', 'distributes', 'initiative', 'qatar', 'charitable']	The Secretary-General of the Association also reviewed the most important activities carried out by the Red Crescent in the past period, adding that the Crescent will open in the coming days five model villages in Kassala State before the fall, and these villages were built with the support of the Emirates Red Crescent, adding the possibility of generalizing the experience in the states of Darfur by offering the experiment.	The Secretary-General of the Society added that the Red Crescent launched an electronic sponsorship project for orphans to sponsor 7,800 orphans with Emirati support of about $10,000, noting that 70% of orphan families were provided with an electronic sponsorship card.	He added that the Red Crescent launched the “Kifayat Harb” initiative in cooperation with the “Sudan Hawa” group, which is an artistic initiative to spread the culture of peace and social peace, explaining that the initiative received a wide response.
18	War crimes, genocide and international law	18_crimes_genocide_law_international	['crimes', 'genocide', 'law', 'international', 'civilians', 'humanitarian', 'conventions', 'ethnic', 'violation', 'violations', 'committed', 'humanity']	800,000 Tutsis and moderate Hutus were victims of massacres committed in Rwanda in 1994 within 100 days while the world stood by and watched. The Rwandan Ministry of Foreign Affairs also said in a statement, “Rwanda, like other countries in the world, was horrified by the scenes of the tragedy now taking place in Libya, where African men, women and children who were on their way to exile were turned into slaves.”	The International Committee expressed its hope that in the future it would be able to provide direct assistance to all civilians suffering from the effects of conflict and violence, including areas under the control of the armed opposition. Maurer said that his committee seeks to meet the humanitarian needs of those affected by the conflict, with a firm desire to support the ability of those affected to find decent livelihoods.	We want to strongly warn you,” he added, adding that monitoring such violations should be left to international observers. #
19	Foreign relations and diplomatic visits	19_foreign_ambassador_affairs_relations	['foreign', 'ambassador', 'affairs', 'relations', 'egyptian', 'countries', 'minister', 'president', 'egypt', 'bilateral', 'visit', 'brotherly']	📡 *Sudan News Network SNN* _*(Eye on the truth)*_ *Ibrahim Ghandour meets with Swiss Foreign Minister Didier Descartes* Today, Mr. Minister of Foreign Affairs, Professor Ibrahim Ghandour, met with Mr. Didier Descartes, Minister of Foreign Affairs of Switzerland. The meeting took place at the headquarters of the Swiss Ministry of Foreign Affairs in Bern, in a one-on-one meeting between the two ministers, followed by a joint official talks session in which Mr. Ambassador Dr. Mustafa Othman Ismail, Permanent Representative, and a delegation participated. Sudan participating in the meetings. The meeting, which was characterized by frankness and transparency, discussed ways to enhance bilateral economic, scientific, cultural and antiquities cooperation relations, in addition to supporting regional security and stability and international cooperation in a number of fields.	In a related context, His Excellency the Minister of Foreign Affairs provided an enlightenment to the group of Arab ambassadors in the Swiss capital, Bern, where Mr. Badr Saleh Al-Taneeb, Ambassador of Kuwait and Head of the Arab Group, welcomed His Excellency the Minister of Foreign Affairs and his accompanying delegation. In the company of Arab ambassadors, His Excellency the Minister touched on his meeting with the Swiss Foreign Minister, in addition to discussing strengthening joint Arab action to maintain peace and stability in the region. His Excellency called on the Arab countries to join efforts to support Sudan at the bilateral and multilateral levels. During his meeting with Mr. Guy Rieder, Director-General of the International Labor Organization, His Excellency the Minister praised the close relations that bind Sudan with the organization and called for more cooperation in the field of raising government capabilities in providing technical support in the field of promoting youth employment.	Recently, relations between Egypt and Sudan have witnessed tension and quarrels. Due to controversial issues, most notably the border dispute over the “Halayeb and Shalatin” triangle, Khartoum’s position in support of the Ethiopian Renaissance Dam, and Sudan’s imposition, on April 6 of this year, of imposing an entry visa to Sudanese territory on Egyptian males coming to it from the age of 18 to 50 years. * Anatolia News* 🌐 *Sudan News Network* 🔸 *For more news, follow us on Facebook* 👇🏼👇🏼👇🏼 https://www.facebook.com/SudanNewsNetwork/ *And on the Telegram website.* https://t.me/Sd_News_Network
20		20_meets_governor_minister_confirms	['meets', 'governor', 'minister', 'confirms', 'health', 'reviews', 'suna', 'receives', 'nile', 'agency', 'council', 'delegation']	There is no intention to amend the constitution to increase the president’s term Nyala Legislative Council cancels a government decision to liquidate the Business and Finance Project An American initiative pushes Minawi and Jibril to dialogue with the government (28) killed and injured in a traffic accident on the Khartoum Civil Road Independent: Referring the report of the National Auditor in South Darfur to the Attorney General Egypt arrests 16 minerals from within Sudanese territory Parliamentarian adopts negotiations with Hilal and Al-Helu Al-Bashir launches development projects in West Darfur on Tuesday Sudan Vision: A plan to absorb Sudanese talents returning from Saudi Arabia The Central Bank carries out an unprecedented sale deal on the Khartoum Stock Exchange A police battalion to prevent corruption and smuggling in mining areas Al-Ahram today:	Sudan News: ○Maamoun Hamida: Measures to prevent the appearance of diarrhea in schools ○ Afaf Tower: Crown Prince of Aqar, Arman and Al-Helu ○More than (2) thousand agricultural and animal production associations have been registered in North Kordofan State ○The “Popular” warns the “National” and acknowledges that its participation in the government is worthless ○Independent parliamentarian Ahmed Sabah Al-Khair: Forming a committee to follow up on the implementation of the outcomes of the national dialogue for greater reassurance ○A media plan in Al-Jazeera State to achieve the goals of the agricultural season in the Al-Jazeera project ○The Eid prayer of Sheikh “Azraq Taiba” sparks controversy on Facebook: strange costumes, and the sheikh’s followers carry microphones and an umbrella for him during prayer ○Report: Haftar uses Sudanese “Justice and Equality” mercenaries ○To provide the opportunity for a larger number of Sudanese and political forces to participate, the Sudan National Liberation Movement Party demands postponement of the discussion of the constitution.	News summary for Friday, September 1, 2017 Happy New Year Politics and Economics:​ 👈🏻 The President of the Republic congratulates the Sudanese nation on the occasion of Eid Al-Adha 👈🏻Ibn Zayed congratulates the President of the Republic on Eid Al-Adha 👈🏻The Governor of North Darfur congratulates the citizens of the state on Eid al-Adha and receives Eid congratulations at the presidential house 👈🏻The National Union of Youth of South Darfur State holds a training workshop in the field of health awareness and education 👈🏻Snar celebrates the 54th Tree Day following the Eid holiday 👈🏻Britain supports southern refugees in the country with $3.8 million 👈🏻The Director General of the Ministry of Industry and Investment calls for the preservation of sacrificial skins 👈🏻The Governor of the Blue Nile reviews the arrangements for the state to host the Nile Boat Competition and Makkuk Honoring Festivals.
21	Health care, hospitals and medicines	21_doctors_medical_health_borders	['doctors', 'medical', 'health', 'borders', 'room', 'patients', 'emergency', 'medicines', 'humanitarian', 'hospitals', 'malnutrition', 'hospital']	The morgue receives 5-7 deaths of girls due to circumcision during the summer vacation The Council of Ministers approves a report that includes stopping flour imports and any new licenses for mills The Khartoum government approves a law banning light plastic bags	He pledged to provide treatment services to those coming from the various states of Sudan, and expressed his full responsibility towards them, and warned The benefits received by medical personnel do not represent anything in exchange for providing treatment services to patients and saving their lives.	For his part, the director of the Salamat Organization in Britain, Dr. Muhammad Al-Amas, said that the organization is a voluntary medical charity in Britain that aims to upgrade medical services in Sudan in the peripheries, indicating that previous circumstances prevented them from reaching Kadugli.
22	Armed struggle and military mobilisation	22_struggle_victory_battle_army	['struggle', 'victory', 'battle', 'army', 'armed', 'forces', 'popular', 'battleofdemocracy', 'liberation', 'martyrs', 'selfdefense', 'guardians']	_ Statement of the Sudan Liberation Army Movement, wing of Abdul Wahid Muhammad Ahmed Al-Nour ●	Do not hope that the army will return you Amin Hassan Omar:	We will work seriously and decisively to protect and defend citizens with all our might We warn the militias and any other party that attacks defenseless civilians and displaced people ــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــ _Join the Sudanese scene on Telegram via the link​ https://t.me/Sd_News_Network
23	Hamdok, political parties and transition	23_hamdok_party_communist_hamdoks	['hamdok', 'party', 'communist', 'hamdoks', 'freedom', 'political', 'leader', 'prime', 'change', 'government', 'congress', 'revolutionary']	We acknowledge the Kingdom’s sovereignty over Tiran and Sanafir French legislative elections:	The president buried the legend of Kalma camp...civil leaders demand an extension for Bashir for a third presidential term.	It is no longer possible to tolerate the subversive role practiced by Qatar Demands in Parliament to remove holders of foreign passports from constitutional positions Health:
24	Displacement camps in El Fasher and Tawila	24_village_displaced_families_fasher	['village', 'displaced', 'families', 'fasher', 'tawila', 'camp', 'el', 'camps', 'residents', 'city', 'villages', 'food']	The residents said that all the settlements refused to allow these refugees to live within their borders, and they pointed out that the refugees, especially those who follow the Darfur movements in a number of Israeli cities, are not welcomed by anyone and are no longer welcome.	The displacement of 120 thousand people from Kirkuk Spain:	30% of the residents of the city of Nahud lost their homes Abu Bakr Abdel Razek:
25	South Sudanese and Chadian refugees	25_refugees_chad_commissioner_high	['refugees', 'chad', 'commissioner', 'high', 'unhcr', 'nations', 'south', 'refugee', 'chadian', 'united', 'camps', 'million']	New influxes of southern refugees in White Nile State. # Sudan_News_Network https://t.me/Sd_News_Network White Nile State revealed that the number of South Sudanese refugees at waiting points in White Nile State exceeded 143,800 refugees.	South Sudan: We plan to return southern refugees from Sudan #Sudan_News_Network https://t.me/Sd_News_Network The Ambassador of South Sudan, Mian Dut, revealed the formation of a committee from the Ministry of Humanitarian Affairs and Disasters in his country to study the conditions of the displaced in preparation for their return to the homeland.	Dagna explained that, in coordination with the High Commission, the diplomatic bodies accredited in Khartoum were invited before the High Commissioner’s visit to Sudan to submit an appeal to the international community to support refugee programs from the State of South Sudan, as well as to visit the Khor Al-War refugee camp from the State of South Sudan in the White Nile State, accompanied by representatives of diplomatic missions and some international and national organizations working. In the field of refugees, which concluded with recommendations that work to take into account joining regional initiatives to solve the problems of refugees from South Sudan and support the areas affected by the presence of refugees.
26		26_blue_nile_governor_northern	['blue', 'nile', 'governor', 'northern', 'north', 'kordofan', 'locality', 'white', 'river', 'badi', 'reviews', 'launches']	North Omdurman demonstrated against the establishment of a waste station A former minister reveals the facts about the foundation results scandal on the island Finance:	I thank God that I am still wearing khaki Governor of Kassala:	"50) of 2017, regarding declaring a state of emergency in Kassala State.” ""."
27	Military operations around El Fasher	27_fasher_city_area_el	['fasher', 'city', 'area', 'el', 'forces', 'axis', 'vehicles', 'army', 'militia', 'division', 'artillery', 'siege']	"The spokesman said that the ""Ain Siro"" area is considered one of the areas that are difficult to enter, but the Rapid Support Forces were able to do so, and that they are now ""monitoring the border to pursue the fleeing rebels."""	He said that the events occurred during the movement of a force from the Rapid Support Forces carrying some evacuees to El Fasher in two vehicles, noting that they occurred in an ambush near Mstaariha and that it resulted in the destruction of one of the two vehicles, leading to the death of nine soldiers. He explained that the second vehicle returned to the Kabkabiya area and another Rapid Support vehicle moved to the scene of the accident to transport the bodies of the martyrs, saying that it was subjected to an ambush that led to the martyrdom of Brigadier General Abdul Rahim Jumah Dagalo, commander of the mobile phone, Hamdan Al Samih.	Salem confirmed that the Sixth Regiment in the Mustariha area is working to collect weapons with the “Rapid Support” forces in the region and not with Musa Hilal, and pointed out that the latter responded to the campaigns by telling the regular forces, “Ride it.”
28	Ethiopian refugees and Tigray displacement	28_ethiopian_refugees_ethiopia_tigray	['ethiopian', 'refugees', 'ethiopia', 'tigray', 'forests', 'refugee', 'ethiopians', 'ababa', 'addis', 'region', 'camp', 'camps']	And its financial resources in implementing its non-profit social plans.. 3-Any Ethiopian who obtains a university degree or above from America or Europe and returns to settle in his country...is granted a plot of land in the range of 50 thousand dollars for free from the state! 4- Ethiopia...does not have an expatriate body...nor a large army of employees, but rather an administration headed by an ambassador in the Ministry of Foreign Affairs... -5 Expatriates do not pay any taxes to the state. 6- When Saudi Arabia deported residency violators in March 2014... Ethiopian Airlines operated 22 daily flights to deport 134,000 Ethiopians for free... They were received at the airport by the Minister of Foreign Affairs... or a representative of the Ministry... The government set up tents around the airport in cooperation with the International Organization for Migration, the Red Cross, and UNICEF to receive the returnees and deport them to their villages.	August 18, 2017 The accompanying photos are not from America, but from Ethiopia during two years of reconstruction 👇👇👇👇👇👇👇👇👇👇👇👇	A Sudanese was killed and 370 Ethiopians took refuge after renewed confrontations in the Amhara region. Follow the latest news on the Telegram application via the link https://t.me/Sd_News_Network A Sudanese citizen was killed within the borders of Sudan, following renewed tribal confrontations between components of the Ethiopian Amhara region. A number of Sudanese cities witnessed persecution and pursuit operations between the warring nationalities of the region, and the confrontations led to 370 Ethiopians seeking refuge in the country. In a statement to Al-Shorouk, the deputy commissioner of Basinda locality, Mohamed Othman Al-Khalifa, expected an increasing wave of refugees due to the escalation of confrontations within the cities and villages of the Amhara region. The confrontations led to a new wave of refugees from the Tigray and Kanama nationalities to escape the conflict, which took a violent and armed form.
29	Khartoum policing and public security	29_police_security_khartoum_crime	['police', 'security', 'khartoum', 'crime', 'committee', 'phenomena', 'presence', 'interior', 'foreigners', 'director', 'hamza', 'cell']	A heated session of the national leadership in Khartoum regarding the formation of the state government Khartoum Police Director:	The commissioner of El Fasher confirmed that the security services are ready to resolve all kinds of chaos and negative phenomena again, while at the same time stabilizing the security situation in his locality, declaring that the locality is preparing to implement the second phase of weapons collection after having completed the first phase of educating and informing citizens of the importance of collecting weapons.	North Darfur State Police Director, Police Major General Abdullah Muhammad Omar, pointed out the decrease in the crime rate and attributed this to the wide police deployment in the state’s nine localities.
30	Banks, currency and exchange rates	30_bank_banks_exchange_dollar	['bank', 'banks', 'exchange', 'dollar', 'pound', 'rate', 'banking', 'currency', 'central', 'currencies', 'pounds', 'transfers']	📡 *Sudan News Network SNN* _*(Eye on the truth)*_ *The Central Bank is racing against time to address “remittance gaps”* The Central Bank of Sudan has directed commercial banks in the country to prepare for the period after the lifting of the US blockade on June 12, using advanced banking techniques used by international banks. The Bank of Sudan’s directive comes after a “trial” process that began last April, as part of the banking system’s preparations to carry out operations and receive transfers in foreign currencies, following years of stopping international banking transactions since the imposition of the American embargo about 20 years ago.	Sudanese, in the post-ban period, especially the weak use of global banking technology and the weakness of banking relations between global regional financial institutions and Sudanese banks.	For his part, banking expert Dr. Al-Fateh Shaa Al-Din expected that the Sudanese economy would achieve many benefits if the ban was completely lifted, anticipating an increase in the activity of the US aid agency and European institutions, noting that this would contribute significantly to increasing bank transfers and their flow from financial institutions.
31	Aviation, airports and flights	31_airport_flights_airlines_flight	['airport', 'flights', 'airlines', 'flight', 'aviation', 'plane', 'airspace', 'stranded', 'badr', 'passenger', 'passengers', 'aircraft']	We are ready to open the airspace to Sudanese aviation Last minute:	We do not want vehicles with S.H. plates anymore Khartoum Airport is closed from eight in the morning until one in the afternoon.	The coalition destroyed the airport’s navigation system, and we will not be able to receive United Nations aircraft Chinese people:
