Topic	Words	Frequency	Timestamp
157	canal, transformed, northeast, battalion, stationed	1	2017-05-13 01:25:09.570000000
159	unamid, reducing, considering, objection, hinder	1	2017-05-13 01:25:09.570000000
160	resolved, differences, escalation, want, dialogue	1	2017-05-13 01:25:09.570000000
177	warrants, egyptians, angry, arabs, speech	1	2017-05-13 01:25:09.570000000
179	hammam, shafiq, magdy, science, technology	3	2017-05-13 01:25:09.570000000
184	bride, gained, largest, kosti, ancient	1	2017-05-13 01:25:09.570000000
188	oversight, internet, opinion, campaigns, public	1	2017-05-13 01:25:09.570000000
193	fine, wealth, prisoners, tried, illegal	1	2017-05-13 01:25:09.570000000
200	ain, northwest, range, mountain, kutum	1	2017-05-13 01:25:09.570000000
208	technologies, embargo, sanctions, directing, products	1	2017-05-13 01:25:09.570000000
209	spy, network, soldier, machar, ghandour	1	2017-05-13 01:25:09.570000000
218	approached, zakat, collection, funds, half	1	2017-05-13 01:25:09.570000000
250	zakat, bureau, riyals, kingdom, mukhtar	2	2017-05-13 01:25:09.570000000
258	facebook, sudannewsnetwork, website, middle, network	1	2017-05-13 01:25:09.570000000
264	moved, search, cross, bodies, according	1	2017-05-13 01:25:09.570000000
274	preparation, 2017, monitoring, newspapers, headlines	1	2017-05-13 01:25:09.570000000
-1	bashir, al, diarrhea, saudi, isis	135	2017-06-15 14:45:55.348623853
1	students, fadil, defenders, school, russia	8	2017-06-15 14:45:55.348623853
2	necessitated, logical, positively, justification, reflected	1	2017-06-15 14:45:55.348623853
3	activity, sports, hajj, football, freeze	6	2017-06-15 14:45:55.348623853
4	trump, iraq, iran, saudi, kuwaiti	4	2017-06-15 14:45:55.348623853
5	mahdi, ban, bashir, trump, partial	2	2017-06-15 14:45:55.348623853
6	violently, refutes, youssef, libyan, separating	1	2017-06-15 14:45:55.348623853
7	watery, diarrhea, passed, critical, yemen	1	2017-06-15 14:45:55.348623853
13	frustration, prophet, wish, died, know	1	2017-06-15 14:45:55.348623853
16	presenting, candidate, capable, presidential, civil	1	2017-06-15 14:45:55.348623853
19	discussions, foreign, relations, france, netherlands	5	2017-06-15 14:45:55.348623853
20	prayer, larger, sabah, sheikh, azraq	1	2017-06-15 14:45:55.348623853
23	referendum, tolerate, holders, secession, southerners	2	2017-06-15 14:45:55.348623853
25	refugees, commissioner, south, high, 2017	5	2017-06-15 14:45:55.348623853
29	heated, formation, session, leadership, regarding	1	2017-06-15 14:45:55.348623853
30	retreats, agar, forming, bank, attacks	1	2017-06-15 14:45:55.348623853
32	certification, gulf, contract, signing, establish	1	2017-06-15 14:45:55.348623853
35	stakeholders, encourages, hostilities, agree, beginning	1	2017-06-15 14:45:55.348623853
38	prosecution, 66, code, 53, 51	4	2017-06-15 14:45:55.348623853
40	extracted, volume, gold, companies, production	2	2017-06-15 14:45:55.348623853
43	banking, policies, assistant, change, president	1	2017-06-15 14:45:55.348623853
45	drugs, drug, mafia, fadil, alcohol	4	2017-06-15 14:45:55.348623853
46	trafficking, lifted, citizen, sanctions, burden	1	2017-06-15 14:45:55.348623853
48	nomination, obtains, ghandour, counterpart, igad	1	2017-06-15 14:45:55.348623853
50	network, follow, tribune, telegram, sudan	1	2017-06-15 14:45:55.348623853
57	2017, headlines, preparation, monitoring, july	7	2017-06-15 14:45:55.348623853
60	unemployment, spending, deficit, reducing, rates	1	2017-06-15 14:45:55.348623853
62	hammam, shafiq, 2017, magdy, headlines	3	2017-06-15 14:45:55.348623853
78	bought, homelands, sold, owners, terrorism	1	2017-06-15 14:45:55.348623853
84	accused, court, prosecution, prison, latif	2	2017-06-15 14:45:55.348623853
89	countries, statement, chinese, foreign, affairs	1	2017-06-15 14:45:55.348623853
91	reduction, outcomes, commit, unamid, welcomes	1	2017-06-15 14:45:55.348623853
93	locally, produced, directive, banning, buy	1	2017-06-15 14:45:55.348623853
94	2016, youtube, award, petroleum, imported	1	2017-06-15 14:45:55.348623853
100	fronts, initiative, army, soldiers, morale	1	2017-06-15 14:45:55.348623853
106	italy, watery, ghandour, diarrhea, umrah	1	2017-06-15 14:45:55.348623853
107	upper, presents, agar, experience, summit	1	2017-06-15 14:45:55.348623853
112	carefully, identify, clock, italy, ghandour	1	2017-06-15 14:45:55.348623853
120	bashir, gulf, al, relieve, bilal	3	2017-06-15 14:45:55.348623853
126	hajj, excluded, believes, republic, guidance	1	2017-06-15 14:45:55.348623853
145	consideration, lift, terrorism, combating, imposed	1	2017-06-15 14:45:55.348623853
147	expecting, transformed, deadline, highest, estimated	2	2017-06-15 14:45:55.348623853
150	medium, term, hard, industries, financing	1	2017-06-15 14:45:55.348623853
155	bridge, attention, working, al, road	1	2017-06-15 14:45:55.348623853
166	net, pictures, rumors, arrests, coup	1	2017-06-15 14:45:55.348623853
175	transactions, banking, facilitate, information, agreement	1	2017-06-15 14:45:55.348623853
179	hammam, shafiq, magdy, science, technology	4	2017-06-15 14:45:55.348623853
183	criticizing, expatriates, concerns, bad, dear	2	2017-06-15 14:45:55.348623853
187	faltered, hassabo, concluded, proposal, egyptian	1	2017-06-15 14:45:55.348623853
208	scenarios, expect, sanctions, kiir, salva	1	2017-06-15 14:45:55.348623853
221	correction, attended, oversight, treasury, fake	1	2017-06-15 14:45:55.348623853
228	alike, meet, donors, needs, current	1	2017-06-15 14:45:55.348623853
258	2017, hammam, shafiq, magdy, preparation	1	2017-06-15 14:45:55.348623853
263	gulf, rich, income, crises, successively	1	2017-06-15 14:45:55.348623853
270	chadian, written, message, bashir, dissatisfaction	1	2017-06-15 14:45:55.348623853
274	2017, preparation, monitoring, newspapers, headlines	1	2017-06-15 14:45:55.348623853
-1	bashir, al, halayeb, consulate, parliament	159	2017-07-15 20:57:23.697247706
0	khor, vandalism, sabotaging, popularity, 72	2	2017-07-15 20:57:23.697247706
1	students, resign, declining, suit, concluding	6	2017-07-15 20:57:23.697247706
3	presidency, league, hilal, removes, moatasem	3	2017-07-15 20:57:23.697247706
4	iran, accustomed, bartam, sanctity, inspect	3	2017-07-15 20:57:23.697247706
5	newspapers, hammam, shafiq, magdy, 2017	2	2017-07-15 20:57:23.697247706
6	shalatin, ethiopia, egyptian, killed, army	1	2017-07-15 20:57:23.697247706
8	azhari, palestinian, confiscates, jews, compete	3	2017-07-15 20:57:23.697247706
9	khor, silent, chamber, happened, remain	1	2017-07-15 20:57:23.697247706
11	minute, storage, circle, european, food	4	2017-07-15 20:57:23.697247706
13	resign, commit, did, god, oh	1	2017-07-15 20:57:23.697247706
16	mutilation, followed, turned, agreed, 100	1	2017-07-15 20:57:23.697247706
19	visit, ambassador, ghandour, fadl, discussions	3	2017-07-15 20:57:23.697247706
23	fatima, berlin, allocations, parliament, disclosure	4	2017-07-15 20:57:23.697247706
29	deployment, police, wide, attributed, decrease	1	2017-07-15 20:57:23.697247706
30	deposits, challenge, rates, reduce, currency	1	2017-07-15 20:57:23.697247706
33	silent, opinion, safety, citizen, regarding	1	2017-07-15 20:57:23.697247706
39	returnees, karar, grace, suakin, records	1	2017-07-15 20:57:23.697247706
40	shipping, purchase, increases, gold, private	1	2017-07-15 20:57:23.697247706
43	pumping, deposits, transfers, written, lift	2	2017-07-15 20:57:23.697247706
45	drug, minute, resolve, problems, increasing	1	2017-07-15 20:57:23.697247706
46	plot, influence, trafficking, lifting, charge	1	2017-07-15 20:57:23.697247706
48	parliamentarians, crowd, setting, soba, african	2	2017-07-15 20:57:23.697247706
56	introducing, towers, impossible, limits, internet	3	2017-07-15 20:57:23.697247706
57	2017, august, preparation, monitoring, headlines	4	2017-07-15 20:57:23.697247706
58	bridges, unlike, built, touched, cut	2	2017-07-15 20:57:23.697247706
60	hateful, biased, resignation, demanding, finance	1	2017-07-15 20:57:23.697247706
62	hammam, shafiq, 2017, magdy, headlines	5	2017-07-15 20:57:23.697247706
72	targets, lifting, turkish, court, sanctions	1	2017-07-15 20:57:23.697247706
73	jordan, agreements, paved, memorandums, halayeb	1	2017-07-15 20:57:23.697247706
89	fields, bilateral, countries, design, programmes	1	2017-07-15 20:57:23.697247706
91	splm, agreements, sudanese, peace, juba	1	2017-07-15 20:57:23.697247706
93	shout, medications, chronic, containers, medicines	2	2017-07-15 20:57:23.697247706
97	malfunctions, cooperating, apologizes, dismiss, investigating	4	2017-07-15 20:57:23.697247706
105	funeral, fatima, resignation, submit, threaten	1	2017-07-15 20:57:23.697247706
106	negligent, locally, produced, import, accused	1	2017-07-15 20:57:23.697247706
111	trade, rumors, users, dialysis, kidney	2	2017-07-15 20:57:23.697247706
112	partner, illegal, combating, extremism, immigration	2	2017-07-15 20:57:23.697247706
120	bashir, morocco, visit, burn, teachers	4	2017-07-15 20:57:23.697247706
126	hajj, pilgrims, umrah, ports, returnee	1	2017-07-15 20:57:23.697247706
132	72, smuggle, thwarting, clean, given	1	2017-07-15 20:57:23.697247706
141	ambiguity, resign, nationalism, apologize, curse	3	2017-07-15 20:57:23.697247706
143	bashir, fatima, fighter, speaker, soba	2	2017-07-15 20:57:23.697247706
145	terrorism, partner, combating, extremism, list	3	2017-07-15 20:57:23.697247706
151	vegetables, annually, imports, 150, interior	1	2017-07-15 20:57:23.697247706
155	bridge, length, road, meters, asphalt	3	2017-07-15 20:57:23.697247706
172	arrange, directive, presidential, official, islamic	1	2017-07-15 20:57:23.697247706
184	problems, cairo, nile, white, located	1	2017-07-15 20:57:23.697247706
188	imprisonment, penalty, assigning, navy, signature	3	2017-07-15 20:57:23.697247706
206	photo, parliamentarian, ibn, cancels, islam	1	2017-07-15 20:57:23.697247706
217	antiquities, museum, khalifa, fears, damage	1	2017-07-15 20:57:23.697247706
224	semester, 85, goes, allocated, television	1	2017-07-15 20:57:23.697247706
243	dilapidated, shout, prisons, 200, homes	1	2017-07-15 20:57:23.697247706
252	salva, kiir, sharing, parliamentarians, intend	2	2017-07-15 20:57:23.697247706
253	disappear, interact, disappeared, friend, pain	2	2017-07-15 20:57:23.697247706
262	floating, secret, suspected, body, missing	1	2017-07-15 20:57:23.697247706
278	pumps, jihad, rumor, jurisprudence, deceased	1	2017-07-15 20:57:23.697247706
-1	bashir, al, weapons, collection, collecting	170	2017-08-15 03:08:52.045871559
0	bahr, seizes, opposition, southern, cities	1	2017-08-15 03:08:52.045871559
1	education, students, business, certificate, hammam	17	2017-08-15 03:08:52.045871559
2	italian, italy, children, unicef, aid	6	2017-08-15 03:08:52.045871559
3	russian, sports, cup, congratulates, consulate	3	2017-08-15 03:08:52.045871559
4	sheikh, mahmoud, al, summon, fugitives	1	2017-08-15 03:08:52.045871559
5	hammam, shafiq, magdy, 2017, science	3	2017-08-15 03:08:52.045871559
6	bashir, ethiopian, relations, ethiopia, kurmuk	6	2017-08-15 03:08:52.045871559
8	israel, israeli, immigrants, fadil, mubarak	11	2017-08-15 03:08:52.045871559
11	expertise, italian, agricultural, technologies, forestry	2	2017-08-15 03:08:52.045871559
13	mercy, god, oh, lord, ask	1	2017-08-15 03:08:52.045871559
16	constitution, amend, intention, laws, amending	6	2017-08-15 03:08:52.045871559
19	italy, ambassador, italian, poverty, keenness	5	2017-08-15 03:08:52.045871559
20	al, eid, congratulates, parliamentarian, proposes	3	2017-08-15 03:08:52.045871559
23	meanings, opposing, consolidate, harassment, voices	3	2017-08-15 03:08:52.045871559
24	settlements, welcomed, refused, longer, welcome	1	2017-08-15 03:08:52.045871559
25	refugees, commissioner, high, chad, 2017	7	2017-08-15 03:08:52.045871559
28	ethiopian, ethiopia, deport, ethiopians, 2014	2	2017-08-15 03:08:52.045871559
34	nader, villagers, sweep, hasahisa, village	2	2017-08-15 03:08:52.045871559
38	precedent, auditor, asks, minute, silence	1	2017-08-15 03:08:52.045871559
39	secure, fadil, libya, borders, criticizes	1	2017-08-15 03:08:52.045871559
40	conviction, mining, company, billions, expired	1	2017-08-15 03:08:52.045871559
43	investing, diabetes, excellent, sell, carries	1	2017-08-15 03:08:52.045871559
45	paralysis, medications, drugs, drug, activating	3	2017-08-15 03:08:52.045871559
46	75, bashir, trafficking, smuggling, arrested	1	2017-08-15 03:08:52.045871559
48	african, continent, nafi, hamed, parties	4	2017-08-15 03:08:52.045871559
50	network, follow, tribune, telegram, sudan	1	2017-08-15 03:08:52.045871559
51	electrical, generation, flood, decline, electricity	1	2017-08-15 03:08:52.045871559
56	telecommunications, containing, text, sending, short	1	2017-08-15 03:08:52.045871559
57	apology, 2017, accepted, august, preparation	2	2017-08-15 03:08:52.045871559
60	auditor, expulsion, parliamentary, recommendations, weak	3	2017-08-15 03:08:52.045871559
62	hammam, shafiq, 2017, magdy, headlines	2	2017-08-15 03:08:52.045871559
73	pays, algeria, bashir, lifting, elements	1	2017-08-15 03:08:52.045871559
80	considers, weapon, presidency, vision, sheikh	1	2017-08-15 03:08:52.045871559
81	belgium, inform, possibility, manner, seeking	1	2017-08-15 03:08:52.045871559
82	sale, representatives, lands, demand, kassala	1	2017-08-15 03:08:52.045871559
84	forgery, operates, sarah, puts, trips	2	2017-08-15 03:08:52.045871559
86	kamal, praising, talk, person, omar	1	2017-08-15 03:08:52.045871559
87	labor, skilled, workers, reduced, amendments	1	2017-08-15 03:08:52.045871559
89	indicator, bright, tourist, star, chinese	1	2017-08-15 03:08:52.045871559
91	kurmuk, foremost, consolidate, compliance, engage	1	2017-08-15 03:08:52.045871559
92	rahad, besiege, able, river, enemy	1	2017-08-15 03:08:52.045871559
93	pharmaceutical, locally, produced, persecution, atmosphere	2	2017-08-15 03:08:52.045871559
95	legislature, dispute, renewed, south, governor	1	2017-08-15 03:08:52.045871559
100	enemies, ready, communications, peace, war	1	2017-08-15 03:08:52.045871559
105	fatima, rwanda, leaves, bashir, mourns	1	2017-08-15 03:08:52.045871559
106	resort, bakri, haj, surprised, holiday	3	2017-08-15 03:08:52.045871559
112	illegal, kufra, immigrants, immigration, agency	3	2017-08-15 03:08:52.045871559
115	china, websites, requiring, spraying, flies	1	2017-08-15 03:08:52.045871559
116	mahmoud, libyan, using, groups, ali	1	2017-08-15 03:08:52.045871559
132	lords, bashir, conflicts, agree, tribal	1	2017-08-15 03:08:52.045871559
143	agenda, negotiating, bashir, mechanism, reveals	1	2017-08-15 03:08:52.045871559
147	insists, better, asylum, came, life	1	2017-08-15 03:08:52.045871559
168	section, watan, takes, away, sports	1	2017-08-15 03:08:52.045871559
179	hammam, shafiq, magdy, science, technology	5	2017-08-15 03:08:52.045871559
180	conditional, permission, passengers, independent, transport	1	2017-08-15 03:08:52.045871559
187	sewage, wasted, trillion, sacrificial, ibn	1	2017-08-15 03:08:52.045871559
188	communications, accessing, websites, permission, thieves	3	2017-08-15 03:08:52.045871559
191	loss, negotiations, room, property, regions	2	2017-08-15 03:08:52.045871559
201	dam, renaissance, identical, sweep, forgotten	1	2017-08-15 03:08:52.045871559
210	audit, commissions, outcomes, cards, data	1	2017-08-15 03:08:52.045871559
221	incentives, insufficient, ambitious, attract, savings	1	2017-08-15 03:08:52.045871559
225	wheel, confiscated, drive, compensation, owners	1	2017-08-15 03:08:52.045871559
227	dam, cuts, banning, renaissance, 36	1	2017-08-15 03:08:52.045871559
236	rulings, cotton, judicial, protests, holding	1	2017-08-15 03:08:52.045871559
250	imposes, pretext, burden, dinder, reducing	1	2017-08-15 03:08:52.045871559
253	harmed, messenger, sadiq, cabinet, mubarak	1	2017-08-15 03:08:52.045871559
256	competence, lacks, hassabo, deteriorating, party	1	2017-08-15 03:08:52.045871559
270	chadian, alert, bashir, unlimited, resign	2	2017-08-15 03:08:52.045871559
278	54, mirghani, agar, dead, hassan	1	2017-08-15 03:08:52.045871559
287	age, assessment, shout, obtaining, maximum	1	2017-08-15 03:08:52.045871559
-1	bashir, sanctions, al, lifting, president	195	2017-09-14 09:20:20.394495412
1	admission, students, education, applying, private	14	2017-09-14 09:20:20.394495412
2	european, union, euros, 60, dairy	3	2017-09-14 09:20:20.394495412
3	pyramids, paris, strengthens, starts, qatar	2	2017-09-14 09:20:20.394495412
4	qatari, arabia, saudi, qatar, iraq	14	2017-09-14 09:20:20.394495412
5	2017, hammam, shafiq, magdy, bashir	4	2017-09-14 09:20:20.394495412
6	raping, regrets, disabled, fail, execution	1	2017-09-14 09:20:20.394495412
8	israel, normalization, palestine, palestinian, israeli	9	2017-09-14 09:20:20.394495412
9	170, 26, died, clashes, injured	1	2017-09-14 09:20:20.394495412
10	mainly, amended, identify, 95, raped	2	2017-09-14 09:20:20.394495412
11	lifted, double, ban, production, day	1	2017-09-14 09:20:20.394495412
13	desired, almighty, evaluating, amending, permission	1	2017-09-14 09:20:20.394495412
16	roles, opposition, ii, right, elected	5	2017-09-14 09:20:20.394495412
17	waiting, breastfeeding, point, charitable, refugees	2	2017-09-14 09:20:20.394495412
19	foreign, european, relations, discussed, countries	13	2017-09-14 09:20:20.394495412
21	approves, vacation, morgue, plastic, licenses	1	2017-09-14 09:20:20.394495412
23	legend, accord, elected, buried, term	2	2017-09-14 09:20:20.394495412
25	refugees, commissioner, high, south, meters	5	2017-09-14 09:20:20.394495412
26	demonstrated, scandal, waste, facts, foundation	1	2017-09-14 09:20:20.394495412
29	phase, informing, kinds, having, collecting	1	2017-09-14 09:20:20.394495412
30	dollar, transfers, decline, banks, bank	10	2017-09-14 09:20:20.394495412
31	plates, airspace, aviation, afternoon, minute	2	2017-09-14 09:20:20.394495412
33	wins, bashir, french, service, participate	3	2017-09-14 09:20:20.394495412
34	magnitude, referendum, detected, earthquake, korea	1	2017-09-14 09:20:20.394495412
35	hope, culture, revive, helps, south	2	2017-09-14 09:20:20.394495412
38	complainant, judge, bakri, complaint, released	1	2017-09-14 09:20:20.394495412
39	transgressions, incentive, halayeb, speaker, limit	1	2017-09-14 09:20:20.394495412
40	policy, smuggling, gold, bank, khartoum	1	2017-09-14 09:20:20.394495412
43	exploitation, traders, aspirations, banking, lift	2	2017-09-14 09:20:20.394495412
44	sorting, ended, monitoring, cases, corona	1	2017-09-14 09:20:20.394495412
45	anti, prohibited, drugs, seized, truck	4	2017-09-14 09:20:20.394495412
46	trafficking, smuggling, human, largest, gang	2	2017-09-14 09:20:20.394495412
47	good, waiting, answer, zero, think	1	2017-09-14 09:20:20.394495412
49	soul, book, muslim, kill, god	1	2017-09-14 09:20:20.394495412
53	gas, oil, pumping, produces, refinery	2	2017-09-14 09:20:20.394495412
59	renk, regulate, 54, rabak, allowed	2	2017-09-14 09:20:20.394495412
60	summoned, thirty, parliamentary, bread, parliament	2	2017-09-14 09:20:20.394495412
62	2017, headlines, newspapers, hammam, shafiq	5	2017-09-14 09:20:20.394495412
66	sanctions, collection, memorandum, bangladesh, compulsory	2	2017-09-14 09:20:20.394495412
71	journalists, federation, cairo, authorities, action	2	2017-09-14 09:20:20.394495412
73	104, spark, demolition, 88, maneuvers	4	2017-09-14 09:20:20.394495412
77	amin, club, officers, theater, feeling	1	2017-09-14 09:20:20.394495412
82	cycle, segments, bureau, needy, poverty	1	2017-09-14 09:20:20.394495412
83	hamida, disagreements, doctors, federal, preventing	1	2017-09-14 09:20:20.394495412
87	deadline, determine, russian, house, company	1	2017-09-14 09:20:20.394495412
88	debts, forgive, community, benefit, credit	1	2017-09-14 09:20:20.394495412
90	guard, legitimate, microscope, border, political	1	2017-09-14 09:20:20.394495412
93	thwarts, swiss, indian, kidney, europe	1	2017-09-14 09:20:20.394495412
94	oil, barrels, production, 150, 2013	4	2017-09-14 09:20:20.394495412
96	determines, text, formation, current, armed	2	2017-09-14 09:20:20.394495412
97	lawyers, reporters, impersonating, licenses, suspend	3	2017-09-14 09:20:20.394495412
102	recovered, ready, men, like, president	2	2017-09-14 09:20:20.394495412
105	bashir, al, lift, hajj, memories	2	2017-09-14 09:20:20.394495412
107	bashir, reserve, prey, interfere, burdens	1	2017-09-14 09:20:20.394495412
110	missile, destroying, territory, launched, saudi	1	2017-09-14 09:20:20.394495412
117	specializing, hafez, estate, real, establish	1	2017-09-14 09:20:20.394495412
120	bashir, flour, sanctions, president, al	6	2017-09-14 09:20:20.394495412
126	pilgrims, completed, secretary, 20, arrival	1	2017-09-14 09:20:20.394495412
138	opposition, criticizing, confident, regardless, unarmed	1	2017-09-14 09:20:20.394495412
141	pilgrims, counted, bashir, legislative, body	1	2017-09-14 09:20:20.394495412
143	wahed, kalma, bashir, events, abdel	1	2017-09-14 09:20:20.394495412
144	dragged, minutes, 60, starting, november	1	2017-09-14 09:20:20.394495412
145	terrorism, commitment, maximize, consolidate, implement	1	2017-09-14 09:20:20.394495412
147	2015, seekers, proposed, referred, noteworthy	2	2017-09-14 09:20:20.394495412
150	banned, big, removing, opinion, step	1	2017-09-14 09:20:20.394495412
152	rescued, migrants, mediterranean, incident, magazine	2	2017-09-14 09:20:20.394495412
153	turns, transportation, omar, issue, ibrahim	1	2017-09-14 09:20:20.394495412
159	unamid, treating, kalma, assist, resolution	2	2017-09-14 09:20:20.394495412
175	methods, payment, prohibited, purposes, transfers	1	2017-09-14 09:20:20.394495412
179	hammam, shafiq, magdy, science, technology	1	2017-09-14 09:20:20.394495412
188	information, spending, growth, testing, breaches	3	2017-09-14 09:20:20.394495412
195	october, return, khartoum, source, omdurman	1	2017-09-14 09:20:20.394495412
198	german, language, programme, study, integration	1	2017-09-14 09:20:20.394495412
200	absorb, calling, exposing, destructive, goodness	1	2017-09-14 09:20:20.394495412
213	individuals, 82, chronic, reached, 250	1	2017-09-14 09:20:20.394495412
224	channels, satellite, jurisprudence, broadcast, scholars	1	2017-09-14 09:20:20.394495412
252	kiir, salva, deputy, movement, kiirs	1	2017-09-14 09:20:20.394495412
253	event, site, happened, details, camp	1	2017-09-14 09:20:20.394495412
254	let, ring, rejoice, song, horses	1	2017-09-14 09:20:20.394495412
258	2017, hammam, shafiq, magdy, preparation	2	2017-09-14 09:20:20.394495412
264	dead, victims, issue, injured, information	1	2017-09-14 09:20:20.394495412
265	bushra, immigrated, asia, prepared, jaber	1	2017-09-14 09:20:20.394495412
267	shout, involved, 40, rebels, intelligence	1	2017-09-14 09:20:20.394495412
269	teams, raising, level, framework, culture	1	2017-09-14 09:20:20.394495412
274	preparation, 2017, monitoring, newspapers, headlines	1	2017-09-14 09:20:20.394495412
-1	al, bashir, said, nuba, saudi	518	2017-10-14 15:31:48.743119264
0	tanks, camp, adam, panic, soldiers	2	2017-10-14 15:31:48.743119264
1	school, students, mean, education, educational	26	2017-10-14 15:31:48.743119264
2	flows, struck, addition, inventory, famine	1	2017-10-14 15:31:48.743119264
3	league, time, channel, week, sports	32	2017-10-14 15:31:48.743119264
4	iraqi, qatari, iran, saudi, kirkuk	70	2017-10-14 15:31:48.743119264
5	lakes, adopts, collected, proposals, hammam	1	2017-10-14 15:31:48.743119264
6	id, ethiopians, pays, features, legitimacy	2	2017-10-14 15:31:48.743119264
8	palestinian, britain, declaration, palestine, israel	8	2017-10-14 15:31:48.743119264
9	opposition, strikes, killed, libyan, 12	2	2017-10-14 15:31:48.743119264
10	emotional, loss, women, reinforced, mainly	2	2017-10-14 15:31:48.743119264
11	agriculture, food, agricultural, rural, forestry	9	2017-10-14 15:31:48.743119264
12	imprisoned, like, killed, world, displaced	1	2017-10-14 15:31:48.743119264
13	god, refuge, eye, seek, sanctity	5	2017-10-14 15:31:48.743119264
16	weakened, colleague, ella, election, constitution	14	2017-10-14 15:31:48.743119264
17	donate, missing, decided, care, mr	1	2017-10-14 15:31:48.743119264
19	trump, american, foreign, relations, worked	9	2017-10-14 15:31:48.743119264
23	municipal, elections, participate, emirati, racist	5	2017-10-14 15:31:48.743119264
24	kirkuk, spain, 120, thousand, displacement	2	2017-10-14 15:31:48.743119264
25	refugees, seasonal, south, bringing, estimated	2	2017-10-14 15:31:48.743119264
26	wearing, thank, kassala, god, governor	2	2017-10-14 15:31:48.743119264
29	precedent, insult, constitutes, mellit, bad	3	2017-10-14 15:31:48.743119264
30	incentive, pound, dollar, bank, exchange	5	2017-10-14 15:31:48.743119264
31	airport, pile, strive, planes, arriving	3	2017-10-14 15:31:48.743119264
33	abundant, enjoys, indicating, agencies, protects	3	2017-10-14 15:31:48.743119264
35	convinced, ignite, exhausted, goes, multiple	2	2017-10-14 15:31:48.743119264
38	complainant, prosecution, referring, procedures, writing	9	2017-10-14 15:31:48.743119264
40	corner, effect, amin, signs, gold	2	2017-10-14 15:31:48.743119264
42	rights, human, standard, right, stipulated	1	2017-10-14 15:31:48.743119264
