topic_id	display_label	raw_name	keywords	story_count	label_status
37	Bank · Money · Prohibits · Billion	37_bank_money_prohibits_billion	['bank', 'money', 'prohibits', 'billion', 'central', 'egyptian', 'originate', 'production', 'granting', 'commodity', 'economic', 'flight']	18	needs_review
38	Distribute · Pictures · Volunteers · Fasher	38_distribute_pictures_volunteers_fasher	['distribute', 'pictures', 'volunteers', 'fasher', 'el', 'launching', 'basket', 'program', 'inauguration', 'cash', 'shelters', 'food']	17	needs_review
39	Syrian · Lebanon · Issue · Lebanese	39_syrian_lebanon_issue_lebanese	['syrian', 'lebanon', 'issue', 'lebanese', 'elections', 'syrians', 'fear', '2023', 'voluntary', 'return', 'deportation', 'guests']	17	needs_review
40	Uganda · Integration · Difficulties · Complain	40_uganda_integration_difficulties_complain	['uganda', 'integration', 'difficulties', 'complain', 'despite', 'poor', 'suffering', 'safe', 'kriandingo', 'disabled', 'obtain', 'kampala']	17	needs_review
41	Armed · Attack · Ethiopia · Ethiopian	41_armed_attack_ethiopia_ethiopian	['armed', 'attack', 'ethiopia', 'ethiopian', 'stuck', 'eritrean', 'comer', 'killed', 'second', 'crises', 'near', 'camp']	16	needs_review
42	Alburhan · Siege · Reception · Protest	42_alburhan_siege_reception_protest	['alburhan', 'siege', 'reception', 'protest', 'use', 'mashad', 'gedaref', 'life', 'inspects', 'alhamidiya', 'alhuri', 'alnahda']	15	needs_review
43	Immigration · Illegal · Economy · Immigrants	43_immigration_illegal_economy_immigrants	['immigration', 'illegal', 'economy', 'immigrants', 'causes', 'america', 'does', 'immigrant', 'enemy', 'grants', 'random', 'colombia']	15	needs_review
44	Painful · Confronting · Tragedy · Issues	44_painful_confronting_tragedy_issues	['painful', 'confronting', 'tragedy', 'issues', 'systematic', 'human', 'far', 'survival', 'besieged', 'horror', 'away', 'occupation']	14	needs_review
45	Increased · Half · Result · Holocaust	45_increased_half_result_holocaust	['increased', 'half', 'result', 'holocaust', '58', 'positive', '48', 'situations', 'survived', 'april', 'testimony', 'happened']	14	needs_review
46	Migration · Carrying · African · Season	46_migration_carrying_african_season	['migration', 'carrying', 'african', 'season', 'marra', 'jebel', '12', '22', 'victim', 'africans', 'dangerous', 'tribes']	13	needs_review
47	Wave · Residents · Fasher · El	47_wave_residents_fasher_el	['wave', 'residents', 'fasher', 'el', 'east', 'survey', 'alsuki', '18', 'invasion', 'muya', 'mount', 'alfula']	11	needs_review
48	Dollars · 16 · Pounds · Agency	48_dollars_16_pounds_agency	['dollars', '16', 'pounds', 'agency', 'libya', '100000', 'provision', 'wins', 'raise', '18', 'prize', 'global']	11	needs_review
49	Food · Chad · Stop · Aid	49_food_chad_stop_aid	['food', 'chad', 'stop', 'aid', 'suffer', 'program', 'famine', 'water', 'verge', 'deadly', 'epidemics', 'expired']	10	needs_review
50	Governor · Urgent · Visit · Need	50_governor_urgent_visit_need	['governor', 'urgent', 'visit', 'need', 'darfur', 'north', 'provide', 'steps', 'reassures', '135000', 'kassab', 'scenes']	10	needs_review
51	Battles · Nyala · Civilians · Coexistence	51_battles_nyala_civilians_coexistence	['battles', 'nyala', 'civilians', 'coexistence', 'dangerous', 'es', 'regional', 'survival', 'salaam', 'dagalo', 'residents', 'houses']	10	needs_review
52	Border · Crossing · Accuses · Ignoring	52_border_crossing_accuses_ignoring	['border', 'crossing', 'accuses', 'ignoring', 'ndjamena', 'control', 'geneva', 'ambassador', 'talks', 'welcome', 'chad', 'adre']	10	needs_review
53	Nile · Blue · Returnees · White	53_nile_blue_returnees_white	['nile', 'blue', 'returnees', 'white', 'arrival', 'needs', 'south', 'region', 'areas', '60000', 'flows', 'karta']	10	needs_review
