topic_id	supercluster_id	supercluster_label	family_id	family_label
27	2	Khartoum · Omdurman · Sennar · Homes · Boat · Migrants · Coast · Migrant	4	Khartoum · Omdurman · Sennar · Homes · Schools · Students · Education · University
28	3	Rapid · Fasher · El · Artillery · Gaza · Bombing · Raid · Yunis	6	Diaspora · Freedom · Revolution · Arabs · Locality · El · Marra · Jebel
29	3	Rapid · Fasher · El · Artillery · Gaza · Bombing · Raid · Yunis	6	Diaspora · Freedom · Revolution · Arabs · Locality · El · Marra · Jebel
30	1	Health · Doctors · Malnutrition · Disease · Darfur · Humanitarian · North · South	2	Health · Doctors · Malnutrition · Disease · Darfur · Humanitarian · North · South
31	2	Khartoum · Omdurman · Sennar · Homes · Boat · Migrants · Coast · Migrant	1	Boat · Migrants · Coast · Migrant · Trafficking · Human · Network · Victims
32	3	Rapid · Fasher · El · Artillery · Gaza · Bombing · Raid · Yunis	8	Army · Clashes · Kordofan · Battles · Millions · Reaches · Hate · Hell
33	2	Khartoum · Omdurman · Sennar · Homes · Boat · Migrants · Coast · Migrant	1	Boat · Migrants · Coast · Migrant · Trafficking · Human · Network · Victims
34	1	Health · Doctors · Malnutrition · Disease · Darfur · Humanitarian · North · South	3	Chad · Libya · Tragic · Kufra · Ethiopia · Ethiopian · Forests · Olala
35	1	Health · Doctors · Malnutrition · Disease · Darfur · Humanitarian · North · South	5	Nations · United · Warns · Conflict · Chad · Uae · Visits · Delegation
36	2	Khartoum · Omdurman · Sennar · Homes · Boat · Migrants · Coast · Migrant	1	Boat · Migrants · Coast · Migrant · Trafficking · Human · Network · Victims
37	1	Health · Doctors · Malnutrition · Disease · Darfur · Humanitarian · North · South	5	Nations · United · Warns · Conflict · Chad · Uae · Visits · Delegation
38	3	Rapid · Fasher · El · Artillery · Gaza · Bombing · Raid · Yunis	6	Diaspora · Freedom · Revolution · Arabs · Locality · El · Marra · Jebel
39	3	Rapid · Fasher · El · Artillery · Gaza · Bombing · Raid · Yunis	6	Diaspora · Freedom · Revolution · Arabs · Locality · El · Marra · Jebel
40	1	Health · Doctors · Malnutrition · Disease · Darfur · Humanitarian · North · South	3	Chad · Libya · Tragic · Kufra · Ethiopia · Ethiopian · Forests · Olala
41	1	Health · Doctors · Malnutrition · Disease · Darfur · Humanitarian · North · South	5	Nations · United · Warns · Conflict · Chad · Uae · Visits · Delegation
42	3	Rapid · Fasher · El · Artillery · Gaza · Bombing · Raid · Yunis	7	Rapid · Fasher · El · Artillery · Gaza · Bombing · Raid · Yunis
43	2	Khartoum · Omdurman · Sennar · Homes · Boat · Migrants · Coast · Migrant	1	Boat · Migrants · Coast · Migrant · Trafficking · Human · Network · Victims
44	3	Rapid · Fasher · El · Artillery · Gaza · Bombing · Raid · Yunis	6	Diaspora · Freedom · Revolution · Arabs · Locality · El · Marra · Jebel
45	3	Rapid · Fasher · El · Artillery · Gaza · Bombing · Raid · Yunis	6	Diaspora · Freedom · Revolution · Arabs · Locality · El · Marra · Jebel
46	1	Health · Doctors · Malnutrition · Disease · Darfur · Humanitarian · North · South	3	Chad · Libya · Tragic · Kufra · Ethiopia · Ethiopian · Forests · Olala
47	3	Rapid · Fasher · El · Artillery · Gaza · Bombing · Raid · Yunis	6	Diaspora · Freedom · Revolution · Arabs · Locality · El · Marra · Jebel
48	1	Health · Doctors · Malnutrition · Disease · Darfur · Humanitarian · North · South	5	Nations · United · Warns · Conflict · Chad · Uae · Visits · Delegation
49	1	Health · Doctors · Malnutrition · Disease · Darfur · Humanitarian · North · South	5	Nations · United · Warns · Conflict · Chad · Uae · Visits · Delegation
50	1	Health · Doctors · Malnutrition · Disease · Darfur · Humanitarian · North · South	5	Nations · United · Warns · Conflict · Chad · Uae · Visits · Delegation
51	3	Rapid · Fasher · El · Artillery · Gaza · Bombing · Raid · Yunis	8	Army · Clashes · Kordofan · Battles · Millions · Reaches · Hate · Hell
52	1	Health · Doctors · Malnutrition · Disease · Darfur · Humanitarian · North · South	5	Nations · United · Warns · Conflict · Chad · Uae · Visits · Delegation
53	1	Health · Doctors · Malnutrition · Disease · Darfur · Humanitarian · North · South	3	Chad · Libya · Tragic · Kufra · Ethiopia · Ethiopian · Forests · Olala
