topic_id	display_label	raw_name	keywords	representative_title_1	representative_title_2	representative_title_3
23		23_migration_10_population_internal	['migration', '10', 'population', 'internal', 'organization', 'western', 'conflict', 'world', 'result', 'largest', 'start', 'witnessing']	International migration: More than 14 million displaced people in Sudan	"""""""International Migration"""": Thousands of families have been displaced in northern and western Sudan as a result of the fighting"""	International migration: More than 7 million Sudanese children have been displaced due to the war
24		24_watch_video_famous_dance	['watch', 'video', 'famous', 'dance', 'surprises', 'friend', 'ahmed', 'arabia', 'followers', 'expatriate', 'country', 'saudi']	Watch the video.. Sudanese beauties ignite the Riyadh season with a sexy dance number with “the neck” and sarcastically: (There are now expatriates and no more visits)	Displaced Sudanese musicians: Because the war lasted too long	Angelina Jolie with Sudanese refugees in Chad
25		25_unicef_children_child_largest	['unicef', 'children', 'child', 'largest', 'world', 'crisis', 'witnessing', 'age', 'caused', '28', 'danger', 'days']	Sudan's displacement crisis puts millions of young children at risk	International organization: The displacement of 2.8 million children under the age of five in Sudan due to the war	International organization: The displacement of 2.8 million children under the age of five in Sudan due to the war
26		26_border_crossing_sovereignty_customs	['border', 'crossing', 'sovereignty', 'customs', 'crossings', 'adre', 'closure', 'council', 'inspects', 'director', 'jibril', 'decides']	Adrei border crossing, controversy over extension and closure	Opening the Al-Qalabat border crossing linking Sudan and Ethiopia	Jibril Ibrahim demands the closure of the Adre border crossing with Chad
27		27_watch_video_photo_girl	['watch', 'video', 'photo', 'girl', 'girls', 'followers', 'young', 'saudi', 'expatriate', 'expatriates', 'asks', 'message']	Watch the video.. A Sudanese girl talks to an Egyptian “taxi” driver in the Egyptian dialect after receiving her residency: (That’s it, she is no longer a refugee) and the driver responds to her: (You are on our mind and you have slept with Sudanese more than Egyptians)	Watch the photo and video.. After receiving private requests.. A Sudanese doctor refuses to marry Saudi expatriates and explains the reasons (Your purpose is as clear as the crystal of the sun)	Watch the photo and video.. An angry Sudanese child sends a message to the expatriates and raises the laughter of the followers: (Come to your country to save yourself)
28		28_marginalization_muhammad_mahmoud_issues	['marginalization', 'muhammad', 'mahmoud', 'issues', 'written', 'identity', 'passed', 'wants', 'away', 'struggle', 'ibrahim', '15']	Veto... illusions of progress... marginalization of a people... and what should be done?	Who wants to be the lowest? Features of marginalization and disintegration in Sudan	Who wants to be the lowest? Features of marginalization and disintegration in Sudan
29		29_rains_floods_island_waves	['rains', 'floods', 'island', 'waves', 'heavy', 'torrential', 'thousand', 'levels', 'stories', 'tell', 'horrific', 'tawila']	Deaths, injuries, forced displacement, and high waves of displacement in both El Fasher and the east of the island	Those displaced from the island face food shortages and lack of medicine	The death of 4 displaced people from the east of the island, including two elderly people and a girl
30		30_internally_statistics_quarter_record	['internally', 'statistics', 'quarter', 'record', 'reports', 'forcibly', 'regarding', 'approaching', '328', 'studying', '70', 'map']	Sudan's displacement crisis fuels rise in miscarriages	About 12 million Sudanese are displaced, according to United Nations reports. Where were they displaced?	The displacement of more than 8 million Sudanese within the country
31		31_passports_administration_general_immigration	['passports', 'administration', 'general', 'immigration', 'expatriates', 'agency', 'service', 'abroad', 'authority', 'organizes', 'department', 'discusses']	Director of the General Administration of Passports and Immigration inspects the Foreigners Department	The Expatriates Authority praises the stance and reception of the Sudanese in America for proof	“There is no migration season to the north after today.” Why did Britain stop the “electronic visa” for Jordanians?
32		32_khartoum_battle_marches_expropriation	['khartoum', 'battle', 'marches', 'expropriation', 'lands', 'diaspora', 'wadi', 'despite', 'arabs', 'halfa', 'decided', 'victim']	Mubarak Al-Fadil: The Sudanese people have fallen victim to the international conflict and are bleeding and displaced without pain	"""The """"Sudanese"""" expatriate during wartime..!!!"""	The invasion of the island and the displacement of its people between the propagandist “Ard” narrative and the government’s “withdrawal to relieve pressure on Khartoum” narrative
33		33_immigrants_biden_immigration_threatens	['immigrants', 'biden', 'immigration', 'threatens', 'absorb', 'disabled', 'bidens', 'announce', 'americas', 'tighten', 'deal', 'deprives']	"""Trump denounces irregular immigrants who bring """"bad genes"""""""	"""Vance and Walz """"clash"""" over immigration and foreign issues"""	Trump escalates his rhetoric against immigrants and describes Harris as “mentally disabled”
34		34_organization_migration_dongola_assistance	['organization', 'migration', 'dongola', 'assistance', 'distribute', 'arrivals', 'partners', 'cash', 'provides', 'aid', 'locality', 'wadi']	Director of the International Organization for Migration: “30%” of Sudan’s population has become displaced	International Organization for Migration: More than 14 million displaced people in Sudan	The Humanitarian Aid Commissioner in the North praises the efforts of the International Organization for Migration
35		35_libya_libyan_accident_kufra	['libya', 'libyan', 'accident', 'kufra', 'traffic', 'divided', 'claims', 'confront', 'preparing', 'house', 'lives', 'tragic']	A new batch of Sudanese refugees arrives in the Libyan city of Kufra	Libyan disagreement over the directive of the head of the unit to absorb Sudanese immigrants	A tragic traffic accident claims the lives of (6) Sudanese refugees south of Kufra, Libya
36		36_rights_stop_human_deporting	['rights', 'stop', 'human', 'deporting', 'authorities', 'expulsion', 'accuses', 'group', 'calls', 'violations', 'egyptian', 'migrants']	Sudanese Justice and Equality Movement Youth Gathering: We welcome the Sovereignty Council’s decision to open the Adre border crossing	Amnesty International calls on the Egyptian authorities to stop deporting Sudanese	Amnesty International calls on the Egyptian authorities to stop the illegal deportation of Sudanese
37		37_bank_money_prohibits_billion	['bank', 'money', 'prohibits', 'billion', 'central', 'egyptian', 'originate', 'production', 'granting', 'commodity', 'economic', 'flight']	The price of the Sudanese pound against the Egyptian pound.. What happens with reverse migration?	The Central Bank of Sudan prohibits granting bank financing to refugees	The Central Bank prohibits banking financing services for refugees
38		38_distribute_pictures_volunteers_fasher	['distribute', 'pictures', 'volunteers', 'fasher', 'el', 'launching', 'basket', 'program', 'inauguration', 'cash', 'shelters', 'food']	Kassala: Distributing a precise ration to displaced families from the east of the island and other localities	"""""""Insani"""" Organization for Peace and Development distributes humanitarian aid to displaced people in the city of Al-Siryu in Al-Damazin Governorate."""	See the pictures.. Volunteers in the Arkuit neighborhood in Gedaref distribute meals to the displaced and carry out a campaign to combat flies in the camps
39		39_syrian_lebanon_issue_lebanese	['syrian', 'lebanon', 'issue', 'lebanese', 'elections', 'syrians', 'fear', '2023', 'voluntary', 'return', 'deportation', 'guests']	Guests, not displaced people.. Sudanese issues directives regarding receiving the Lebanese	Daily meals for the Sudanese Club in Beirut.. Sectors of Lebanese society interact with the crisis of displaced Sudanese in the south	What are the options for Syrian refugees to Lebanon in light of the escalation?
40		40_uganda_integration_difficulties_complain	['uganda', 'integration', 'difficulties', 'complain', 'despite', 'poor', 'suffering', 'safe', 'kriandingo', 'disabled', 'obtain', 'kampala']	Thousands of Sudanese refugees in Uganda despite the difficulties of integration	Thousands of Sudanese refugees in Uganda despite the difficulties of integration	Kenyan authorities are taking new measures towards refugees and asylum seekers
41		41_armed_attack_ethiopia_ethiopian	['armed', 'attack', 'ethiopia', 'ethiopian', 'stuck', 'eritrean', 'comer', 'killed', 'second', 'crises', 'near', 'camp']	Sudanese stranded on the border and refugees face the danger of battles between the Ethiopian army and Fano rebels	A new armed attack on Sudanese refugees in Ethiopia	Two people were killed in a second attack on a Sudanese refugee camp in Ethiopia
42		42_alburhan_siege_reception_protest	['alburhan', 'siege', 'reception', 'protest', 'use', 'mashad', 'gedaref', 'life', 'inspects', 'alhamidiya', 'alhuri', 'alnahda']	Al-Burhan inspects the displaced people in the east of the island in Shindi, and the Rapid Support continues to storm the villages	In the video... Al-Burhan inspects the displaced people from the east of the island and checks on their conditions	An urgent appeal to support the displaced people of Al-Jazeera in the Abu Dulaiq area
43		43_immigration_illegal_economy_immigrants	['immigration', 'illegal', 'economy', 'immigrants', 'causes', 'america', 'does', 'immigrant', 'enemy', 'grants', 'random', 'colombia']	Preventing immigration is the biggest contradiction in the structure of the global economy	For the first time...a country grants $34,000 to an immigrant who gives up his residency and citizenship and leaves	A new enemy threatens the lives of immigrants seeking to reach America
44		44_painful_confronting_tragedy_issues	['painful', 'confronting', 'tragedy', 'issues', 'systematic', 'human', 'far', 'survival', 'besieged', 'horror', 'away', 'occupation']	Confronting displacement and displacement issues	Confronting displacement and displacement issues	Displacement: a symbol of a painful human tragedy
45		45_increased_half_result_holocaust	['increased', 'half', 'result', 'holocaust', '58', 'positive', '48', 'situations', 'survived', 'april', 'testimony', 'happened']	The Displaced Persons Coordination Warns both sides of the war against moving battlefields to densely populated areas	El Geneina after a year and a half of war... A look at what happened... Testimony of a refugee who survived the Holocaust	The number of displaced people and refugees as a result of the war increased to about 8.4 million
46		46_migration_carrying_african_season	['migration', 'carrying', 'african', 'season', 'marra', 'jebel', '12', '22', 'victim', 'africans', 'dangerous', 'tribes']	Migration season to the south	Doctors are among the migrants fleeing Africa	African migration: carrying Jebel Marra unprotected (2-2)
47		47_wave_residents_fasher_el	['wave', 'residents', 'fasher', 'el', 'east', 'survey', 'alsuki', '18', 'invasion', 'muya', 'mount', 'alfula']	A distress call from the people of Bashagra in diaspora countries following the invasion of the area by the Rapid Support	The arrival of new displaced people from El Fasher to Darbat, east of Jebel Marra	Deteriorating conditions for the displaced people in the east of the Jazira in “New Halfa”
48		48_dollars_16_pounds_agency	['dollars', '16', 'pounds', 'agency', 'libya', '100000', 'provision', 'wins', 'raise', '18', 'prize', 'global']	One million pounds sterling for Sudanese families displaced in Libya	Five million dollars from the US Agency for Sudanese refugees in Libya	The United States Agency for International Development announces the provision of five million dollars to support Sudanese refugees in Libya
49		49_food_chad_stop_aid	['food', 'chad', 'stop', 'aid', 'suffer', 'program', 'famine', 'water', 'verge', 'deadly', 'epidemics', 'expired']	Sudanese refugees in Chad complain of delayed disbursement of food aid	Food: If new funds are not received, food aid will be forced to cut off for hundreds of thousands of Sudanese refugees in Chad	Food Program: Aid to Sudanese refugees in Chad may stop
50		50_governor_urgent_visit_need	['governor', 'urgent', 'visit', 'need', 'darfur', 'north', 'provide', 'steps', 'reassures', '135000', 'kassab', 'scenes']	Rapid Support cancels the curfew in Kassab camp for displaced people in North Darfur state	A government official urges the international community to help 135,000 displaced people who fled from Sennar to Gedaref	The governor of South Kordofan reassures the displaced of their return to their homes
51		51_battles_nyala_civilians_coexistence	['battles', 'nyala', 'civilians', 'coexistence', 'dangerous', 'es', 'regional', 'survival', 'salaam', 'dagalo', 'residents', 'houses']	A wave of displacement after the Rapid Support attack on villages in the White Nile	The Dagalo militia from coexistence to displacement	Displacement among the residents of “Dar es Salaam” in North Darfur due to the fighting
52		52_border_crossing_accuses_ignoring	['border', 'crossing', 'accuses', 'ignoring', 'ndjamena', 'control', 'geneva', 'ambassador', 'talks', 'welcome', 'chad', 'adre']	Sudan accuses Chad of delivering UAE weapons to Hemedti through two airports and a border crossing	Sudanese minister demands guarantees for Chad border crossing to remain open	Geneva talks delegations welcome the Sudanese army's decision to open the Adre border crossing
53		53_nile_blue_returnees_white	['nile', 'blue', 'returnees', 'white', 'arrival', 'needs', 'south', 'region', 'areas', '60000', 'flows', 'karta']	Measures in the Blue Nile to meet the needs of returnee flows from South Sudan	Declaring the Blue Nile region as a treatment area for displaced people and returnees	Organization: 145 thousand refugees arrived in the White Nile from areas of armed conflict
